arrival,Stain,departure,Staout,time
Sta15,,Sta72,,5
Sta23,,Sta69,,5
Sta89,,Sta97,,5
Sta84,,Sta26,,5
Sta123,,Sta81,,5
Sta101,,Sta31,,5
Sta86,,Sta63,,5
Sta98,,Sta126,,5
Sta138,,Sta30,,5
Sta17,,Sta23,,5
Sta127,,Sta27,,5
Sta48,,Sta81,,5
Sta47,,Sta79,,5
Sta26,,Sta17,,5
Sta135,,Sta168,,5
Sta29,,Sta115,,5
Sta108,,Sta159,,5
Sta159,,Sta1,,5
Sta4,,Sta2,,5
Sta118,,Sta23,,5
Sta168,,Sta134,,5
Sta127,,Sta91,,5
Sta68,,Sta76,,5
Sta80,,Sta110,,5
Sta59,,Sta134,,5
Sta64,,Sta154,,5
Sta144,,Sta5,,5
Sta154,,Sta83,,5
Sta125,,Sta153,,5
Sta107,,Sta150,,5
Sta59,,Sta19,,5
Sta147,,Sta42,,5
Sta122,,Sta36,,5
Sta145,,Sta103,,5
Sta89,,Sta150,,5
Sta118,,Sta162,,5
Sta157,,Sta114,,5
Sta68,,Sta151,,5
Sta83,,Sta47,,5
Sta40,,Sta39,,5
Sta64,,Sta80,,5
Sta131,,Sta135,,5
Sta146,,Sta120,,5
Sta12,,Sta21,,5
Sta135,,Sta39,,5
Sta164,,Sta152,,5
Sta78,,Sta163,,5
Sta78,,Sta98,,5
Sta82,,Sta164,,5
Sta85,,Sta2,,5
Sta103,,Sta4,,5
Sta13,,Sta55,,5
Sta33,,Sta109,,5
Sta75,,Sta45,,5
Sta8,,Sta75,,5
Sta71,,Sta139,,5
Sta102,,Sta75,,5
Sta6,,Sta7,,5
Sta6,,Sta8,,5
Sta104,,Sta65,,6
Sta115,,Sta56,,6
Sta94,,Sta7,,6
Sta70,,Sta20,,6
Sta127,,Sta148,,6
Sta99,,Sta28,,6
Sta126,,Sta40,,6
Sta9,,Sta78,,6
Sta69,,Sta37,,6
Sta69,,Sta56,,6
Sta167,,Sta141,,6
Sta1,,Sta63,,6
Sta127,,Sta47,,6
Sta5,,Sta29,,6
Sta89,,Sta154,,6
Sta117,,Sta158,,6
Sta44,,Sta142,,6
Sta5,,Sta47,,6
Sta135,,Sta84,,6
Sta40,,Sta162,,6
Sta27,,Sta151,,6
Sta41,,Sta22,,6
Sta168,,Sta157,,6
Sta114,,Sta86,,6
Sta57,,Sta71,,6
Sta54,,Sta23,,6
Sta131,,Sta115,,6
Sta94,,Sta88,,6
Sta125,,Sta11,,6
Sta44,,Sta147,,6
Sta90,,Sta23,,6
Sta62,,Sta19,,6
Sta133,,Sta138,,6
Sta115,,Sta114,,6
Sta15,,Sta46,,6
Sta3,,Sta93,,6
Sta163,,Sta129,,6
Sta117,,Sta42,,6
Sta97,,Sta64,,6
Sta41,,Sta67,,6
Sta22,,Sta21,,6
Sta17,,Sta101,,6
Sta106,,Sta97,,6
Sta92,,Sta41,,6
Sta41,,Sta91,,6
Sta23,,Sta26,,6
Sta65,,Sta149,,6
Sta160,,Sta6,,6
Sta135,,Sta113,,6
Sta130,,Sta25,,6
Sta162,,Sta15,,6
Sta96,,Sta43,,6
Sta119,,Sta66,,6
Sta3,,Sta46,,6
Sta142,,Sta113,,6
Sta48,,Sta68,,6
Sta105,,Sta51,,6
Sta3,,Sta92,,6
Sta10,,Sta132,,6
Sta70,,Sta111,,6
Sta13,,Sta140,,6
Sta135,,Sta95,,6
Sta43,,Sta10,,6
Sta8,,Sta7,,6
Sta116,,Sta32,,6
Sta61,,Sta143,,7
Sta110,,Sta89,,7
Sta80,,Sta150,,7
Sta118,,Sta126,,7
Sta131,,Sta126,,7
Sta127,,Sta48,,7
Sta107,,Sta64,,7
Sta40,,Sta118,,7
Sta20,,Sta118,,7
Sta49,,Sta74,,7
Sta96,,Sta37,,7
Sta35,,Sta87,,7
Sta84,,Sta95,,7
Sta137,,Sta136,,7
Sta61,,Sta119,,7
Sta158,,Sta141,,7
Sta107,,Sta47,,7
Sta108,,Sta5,,7
Sta32,,Sta127,,7
Sta112,,Sta125,,7
Sta134,,Sta95,,7
Sta112,,Sta109,,7
Sta3,,Sta25,,7
Sta73,,Sta60,,7
Sta145,,Sta88,,7
Sta109,,Sta42,,7
Sta90,,Sta17,,7
Sta50,,Sta66,,7
Sta83,,Sta150,,7
Sta5,,Sta67,,7
Sta17,,Sta20,,7
Sta153,,Sta121,,7
Sta108,,Sta154,,7
Sta129,,Sta53,,7
Sta153,,Sta33,,7
Sta98,,Sta53,,7
Sta110,,Sta34,,7
Sta155,,Sta156,,7
Sta47,,Sta98,,7
Sta124,,Sta166,,7
Sta31,,Sta23,,7
Sta132,,Sta16,,7
Sta159,,Sta123,,7
Sta34,,Sta128,,7
Sta137,,Sta31,,7
Sta24,,Sta71,,7
Sta75,,Sta152,,7
Sta14,,Sta148,,7
Sta48,,Sta52,,7
Sta151,,Sta52,,7
Sta95,,Sta72,,7
Sta144,,Sta98,,7
Sta156,,Sta50,,7
Sta18,,Sta98,,7
Sta6,,Sta75,,7
Sta116,,Sta41,,7
Sta77,,Sta140,,7
Sta83,,Sta159,,7
Sta12,,Sta119,,7
Sta18,,Sta123,,7
Sta139,,Sta105,,7
Sta24,,Sta139,,7
Sta162,,Sta168,,8
Sta162,,Sta126,,8
Sta67,,Sta138,,8
Sta89,,Sta107,,8
Sta86,,Sta162,,8
Sta60,,Sta91,,8
Sta134,,Sta2,,8
Sta49,,Sta104,,8
Sta100,,Sta40,,8
Sta5,,Sta63,,8
Sta39,,Sta167,,8
Sta68,,Sta27,,8
Sta138,,Sta21,,8
Sta5,,Sta30,,8
Sta23,,Sta115,,8
Sta22,,Sta30,,8
Sta114,,Sta134,,8
Sta118,,Sta114,,8
Sta47,,Sta1,,8
Sta81,,Sta47,,8
Sta163,,Sta79,,8
Sta53,,Sta79,,8
Sta81,,Sta151,,8
Sta115,,Sta98,,8
Sta162,,Sta56,,8
Sta26,,Sta31,,8
Sta56,,Sta17,,8
Sta63,,Sta15,,8
Sta63,,Sta25,,8
Sta55,,Sta23,,8
Sta132,,Sta43,,8
Sta56,,Sta90,,8
Sta159,,Sta129,,8
Sta118,,Sta54,,8
Sta40,,Sta29,,8
Sta115,,Sta39,,8
Sta114,,Sta46,,8
Sta84,,Sta59,,8
Sta135,,Sta85,,8
Sta114,,Sta95,,8
Sta149,,Sta128,,8
Sta71,,Sta76,,8
Sta92,,Sta32,,8
Sta95,,Sta86,,8
Sta142,,Sta167,,8
Sta41,,Sta133,,8
Sta93,,Sta15,,8
Sta162,,Sta131,,8
Sta29,,Sta162,,8
Sta165,,Sta62,,8
Sta120,,Sta25,,8
Sta55,,Sta111,,8
Sta100,,Sta113,,8
Sta106,,Sta80,,8
Sta78,,Sta18,,8
Sta105,,Sta155,,8
Sta36,,Sta166,,8
Sta87,,Sta33,,8
Sta135,,Sta141,,8
Sta7,,Sta87,,8
Sta152,,Sta82,,8
Sta85,,Sta4,,8
Sta114,,Sta135,,8
Sta70,,Sta140,,8
Sta100,,Sta84,,8
Sta123,,Sta27,,8
Sta105,,Sta71,,8
Sta93,,Sta92,,8
Sta147,,Sta35,,8
Sta22,,Sta161,,8
Sta19,,Sta165,,8
Sta68,,Sta57,,8
Sta133,,Sta12,,8
Sta57,,Sta139,,8
Sta38,,Sta58,,8
Sta13,,Sta111,,8
Sta161,,Sta66,,8
Sta161,,Sta133,,8
Sta90,,Sta31,,9
Sta66,,Sta61,,9
Sta69,,Sta132,,9
Sta89,,Sta31,,9
Sta23,,Sta70,,9
Sta155,,Sta61,,9
Sta5,,Sta126,,9
Sta144,,Sta29,,9
Sta118,,Sta17,,9
Sta163,,Sta98,,9
Sta117,,Sta142,,9
Sta162,,Sta157,,9
Sta8,,Sta160,,9
Sta98,,Sta1,,9
Sta20,,Sta54,,9
Sta144,,Sta41,,9
Sta42,,Sta87,,9
Sta15,,Sta115,,9
Sta168,,Sta85,,9
Sta73,,Sta127,,9
Sta15,,Sta84,,9
Sta140,,Sta122,,9
Sta95,,Sta90,,9
Sta166,,Sta28,,9
Sta110,,Sta64,,9
Sta118,,Sta26,,9
Sta121,,Sta112,,9
Sta16,,Sta56,,9
Sta106,,Sta89,,9
Sta137,,Sta17,,9
Sta63,,Sta92,,9
Sta69,,Sta17,,9
Sta42,,Sta44,,9
Sta88,,Sta103,,9
Sta74,,Sta65,,9
Sta107,,Sta159,,9
Sta98,,Sta9,,9
Sta21,,Sta66,,9
Sta54,,Sta17,,9
Sta59,,Sta62,,9
Sta59,,Sta135,,9
Sta15,,Sta168,,9
Sta134,,Sta90,,9
Sta35,,Sta117,,9
Sta90,,Sta135,,9
Sta15,,Sta135,,9
Sta144,,Sta1,,9
Sta154,,Sta80,,9
Sta76,,Sta151,,9
Sta158,,Sta113,,9
Sta128,,Sta49,,9
Sta60,,Sta14,,9
Sta18,,Sta108,,9
Sta13,,Sta20,,9
Sta100,,Sta134,,9
Sta167,,Sta95,,9
Sta1,,Sta29,,9
Sta67,,Sta98,,9
Sta97,,Sta34,,9
Sta97,,Sta150,,9
Sta19,,Sta134,,9
Sta123,,Sta108,,9
Sta6,,Sta94,,9
Sta135,,Sta40,,9
Sta78,,Sta5,,9
Sta146,,Sta3,,9
Sta10,,Sta37,,9
Sta123,,Sta79,,9
Sta143,,Sta50,,9
Sta131,,Sta167,,9
Sta78,,Sta47,,9
Sta3,,Sta72,,9
Sta103,,Sta2,,9
Sta20,,Sta26,,9
Sta16,,Sta23,,9
Sta95,,Sta168,,9
Sta57,,Sta52,,9
Sta3,,Sta86,,9
Sta165,,Sta38,,9
Sta92,,Sta116,,9
Sta159,,Sta144,,9
Sta111,,Sta164,,9
Sta167,,Sta84,,9
Sta77,,Sta36,,9
Sta136,,Sta101,,10
Sta99,,Sta36,,10
Sta95,,Sta46,,10
Sta160,,Sta88,,10
Sta100,,Sta115,,10
Sta93,,Sta63,,10
Sta115,,Sta86,,10
Sta115,,Sta20,,10
Sta157,,Sta135,,10
Sta84,,Sta23,,10
Sta112,,Sta87,,10
Sta23,,Sta37,,10
Sta68,,Sta81,,10
Sta158,,Sta147,,10
Sta84,,Sta17,,10
Sta63,,Sta159,,10
Sta108,,Sta1,,10
Sta40,,Sta114,,10
Sta126,,Sta56,,10
Sta47,,Sta27,,10
Sta154,,Sta47,,10
Sta95,,Sta162,,10
Sta74,,Sta34,,10
Sta114,,Sta63,,10
Sta87,,Sta145,,10
Sta118,,Sta69,,10
Sta41,,Sta127,,10
Sta129,,Sta47,,10
Sta67,,Sta22,,10
Sta54,,Sta69,,10
Sta67,,Sta1,,10
Sta54,,Sta115,,10
Sta30,,Sta133,,10
Sta159,,Sta29,,10
Sta92,,Sta91,,10
Sta153,,Sta11,,10
Sta126,,Sta114,,10
Sta44,,Sta141,,10
Sta64,,Sta83,,10
Sta31,,Sta20,,10
Sta5,,Sta83,,10
Sta33,,Sta35,,10
Sta56,,Sta40,,10
Sta79,,Sta108,,10
Sta26,,Sta54,,10
Sta80,,Sta34,,10
Sta82,,Sta70,,10
Sta12,,Sta22,,10
Sta115,,Sta157,,10
Sta129,,Sta78,,10
Sta118,,Sta131,,10
Sta86,,Sta72,,10
Sta144,,Sta138,,10
Sta52,,Sta71,,10
Sta100,,Sta95,,10
Sta76,,Sta139,,10
Sta56,,Sta26,,10
Sta156,,Sta119,,10
Sta114,,Sta84,,10
Sta56,,Sta55,,10
Sta27,,Sta52,,10
Sta127,,Sta18,,10
Sta108,,Sta150,,10
Sta96,,Sta16,,10
Sta72,,Sta114,,10
Sta109,,Sta147,,10
Sta119,,Sta161,,10
Sta152,,Sta45,,10
Sta98,,Sta159,,10
Sta164,,Sta45,,10
Sta24,,Sta51,,10
Sta64,,Sta108,,11
Sta163,,Sta18,,11
Sta95,,Sta63,,11
Sta146,,Sta63,,11
Sta131,,Sta29,,11
Sta9,,Sta79,,11
Sta126,,Sta1,,11
Sta56,,Sta114,,11
Sta43,,Sta37,,11
Sta23,,Sta126,,11
Sta98,,Sta40,,11
Sta162,,Sta46,,11
Sta134,,Sta4,,11
Sta39,,Sta126,,11
Sta67,,Sta29,,11
Sta127,,Sta79,,11
Sta117,,Sta141,,11
Sta79,,Sta126,,11
Sta32,,Sta60,,11
Sta3,,Sta15,,11
Sta40,,Sta167,,11
Sta129,,Sta29,,11
Sta89,,Sta83,,11
Sta63,,Sta72,,11
Sta134,,Sta157,,11
Sta98,,Sta30,,11
Sta141,,Sta100,,11
Sta89,,Sta34,,11
Sta127,,Sta151,,11
Sta80,,Sta107,,11
Sta118,,Sta15,,11
Sta142,,Sta135,,11
Sta93,,Sta95,,11
Sta85,,Sta59,,11
Sta126,,Sta144,,11
Sta127,,Sta108,,11
Sta151,,Sta57,,11
Sta26,,Sta101,,11
Sta121,,Sta33,,11
Sta122,,Sta166,,11
Sta144,,Sta129,,11
Sta85,,Sta103,,11
Sta87,,Sta6,,11
Sta79,,Sta5,,11
Sta48,,Sta123,,11
Sta33,,Sta125,,11
Sta123,,Sta98,,11
Sta84,,Sta168,,11
Sta106,,Sta64,,11
Sta23,,Sta162,,11
Sta88,,Sta4,,11
Sta112,,Sta35,,11
Sta79,,Sta29,,11
Sta167,,Sta168,,11
Sta90,,Sta100,,11
Sta140,,Sta55,,11
Sta56,,Sta31,,11
Sta122,,Sta111,,11
Sta91,,Sta148,,11
Sta129,,Sta46,,11
Sta21,,Sta119,,11
Sta153,,Sta109,,11
Sta30,,Sta92,,11
Sta50,,Sta12,,11
Sta39,,Sta113,,11
Sta101,,Sta23,,11
Sta144,,Sta47,,11
Sta41,,Sta21,,11
Sta82,,Sta13,,11
Sta53,,Sta18,,11
Sta41,,Sta3,,11
Sta57,,Sta24,,11
Sta82,,Sta140,,11
Sta154,,Sta97,,11
Sta138,,Sta161,,11
Sta29,,Sta78,,11
Sta13,,Sta164,,11
Sta8,,Sta94,,11
Sta29,,Sta118,,11
Sta128,,Sta106,,11
Sta69,,Sta20,,11
Sta76,,Sta48,,11
Sta18,,Sta159,,11
Sta111,,Sta77,,11
Sta62,,Sta58,,11
Sta116,,Sta91,,11
Sta69,,Sta96,,12
Sta162,,Sta20,,12
Sta108,,Sta129,,12
Sta133,,Sta67,,12
Sta104,,Sta149,,12
Sta89,,Sta17,,12
Sta107,,Sta5,,12
Sta12,,Sta61,,12
Sta84,,Sta69,,12
Sta126,,Sta100,,12
Sta33,,Sta42,,12
Sta90,,Sta20,,12
Sta122,,Sta99,,12
Sta47,,Sta53,,12
Sta63,,Sta144,,12
Sta35,,Sta44,,12
Sta115,,Sta46,,12
Sta98,,Sta129,,12
Sta162,,Sta63,,12
Sta30,,Sta21,,12
Sta128,,Sta65,,12
Sta115,,Sta135,,12
Sta159,,Sta126,,12
Sta42,,Sta158,,12
Sta52,,Sta81,,12
Sta56,,Sta84,,12
Sta55,,Sta118,,12
Sta1,,Sta9,,12
Sta79,,Sta159,,12
Sta130,,Sta3,,12
Sta115,,Sta5,,12
Sta168,,Sta2,,12
Sta115,,Sta17,,12
Sta26,,Sta134,,12
Sta62,,Sta134,,12
Sta10,,Sta16,,12
Sta14,,Sta127,,12
Sta158,,Sta167,,12
Sta108,,Sta81,,12
Sta135,,Sta72,,12
Sta20,,Sta16,,12
Sta59,,Sta90,,12
Sta128,,Sta110,,12
Sta95,,Sta26,,12
Sta70,,Sta56,,12
Sta39,,Sta118,,12
Sta93,,Sta46,,12
Sta129,,Sta3,,12
Sta168,,Sta59,,12
Sta86,,Sta129,,12
Sta54,,Sta162,,12
Sta40,,Sta15,,12
Sta127,,Sta159,,12
Sta32,,Sta30,,12
Sta69,,Sta26,,12
Sta18,,Sta81,,12
Sta78,,Sta126,,12
Sta15,,Sta90,,12
Sta46,,Sta92,,12
Sta85,,Sta114,,12
Sta55,,Sta17,,12
Sta92,,Sta72,,12
Sta20,,Sta111,,12
Sta115,,Sta168,,12
Sta138,,Sta12,,12
Sta135,,Sta26,,12
Sta84,,Sta85,,12
Sta109,,Sta88,,12
Sta25,,Sta46,,12
Sta167,,Sta90,,12
Sta159,,Sta154,,12
Sta110,,Sta150,,12
Sta167,,Sta134,,12
Sta72,,Sta46,,12
Sta142,,Sta147,,12
Sta95,,Sta85,,12
Sta159,,Sta67,,12
Sta112,,Sta11,,12
Sta92,,Sta138,,12
Sta75,,Sta164,,12
Sta62,,Sta38,,12
Sta127,,Sta116,,12
Sta7,,Sta75,,12
Sta167,,Sta114,,12
Sta143,,Sta51,,12
Sta4,,Sta145,,12
Sta102,,Sta6,,12
Sta103,,Sta87,,13
Sta67,,Sta126,,13
Sta125,,Sta109,,13
Sta90,,Sta118,,13
Sta47,,Sta64,,13
Sta108,,Sta89,,13
Sta63,,Sta47,,13
Sta31,,Sta136,,13
Sta127,,Sta68,,13
Sta134,,Sta162,,13
Sta27,,Sta76,,13
Sta69,,Sta115,,13
Sta86,,Sta157,,13
Sta63,,Sta41,,13
Sta100,,Sta142,,13
Sta162,,Sta69,,13
Sta97,,Sta107,,13
Sta20,,Sta84,,13
Sta50,,Sta155,,13
Sta13,,Sta23,,13
Sta39,,Sta141,,13
Sta23,,Sta40,,13
Sta123,,Sta107,,13
Sta118,,Sta168,,13
Sta126,,Sta53,,13
Sta144,,Sta108,,13
Sta145,,Sta94,,13
Sta23,,Sta137,,13
Sta72,,Sta162,,13
Sta134,,Sta103,,13
Sta53,,Sta29,,13
Sta92,,Sta25,,13
Sta156,,Sta66,,13
Sta47,,Sta48,,13
Sta106,,Sta74,,13
Sta160,,Sta75,,13
Sta37,,Sta56,,13
Sta161,,Sta41,,13
Sta83,,Sta1,,13
Sta131,,Sta98,,13
Sta31,,Sta84,,13
Sta135,,Sta2,,13
Sta162,,Sta39,,13
Sta29,,Sta30,,13
Sta100,,Sta114,,13
Sta98,,Sta127,,13
Sta131,,Sta134,,13
Sta39,,Sta95,,13
Sta118,,Sta86,,13
Sta69,,Sta31,,13
Sta111,,Sta152,,13
Sta47,,Sta67,,13
Sta30,,Sta159,,13
Sta143,,Sta119,,13
Sta129,,Sta67,,13
Sta167,,Sta15,,13
Sta87,,Sta8,,13
Sta7,,Sta88,,13
Sta117,,Sta109,,13
Sta54,,Sta16,,13
Sta113,,Sta44,,13
Sta95,,Sta115,,13
Sta162,,Sta98,,13
Sta23,,Sta114,,13
Sta93,,Sta41,,13
Sta55,,Sta82,,13
Sta134,,Sta15,,13
Sta86,,Sta168,,13
Sta131,,Sta95,,13
Sta83,,Sta18,,13
Sta105,,Sta57,,13
Sta16,,Sta118,,13
Sta26,,Sta16,,13
Sta56,,Sta29,,13
Sta145,,Sta2,,13
Sta39,,Sta134,,13
Sta168,,Sta90,,13
Sta90,,Sta101,,13
Sta154,,Sta110,,13
Sta52,,Sta139,,13
Sta148,,Sta32,,13
Sta150,,Sta47,,13
Sta147,,Sta87,,13
Sta56,,Sta131,,13
Sta15,,Sta157,,13
Sta131,,Sta113,,13
Sta68,,Sta71,,13
Sta29,,Sta114,,13
Sta84,,Sta19,,13
Sta3,,Sta32,,13
Sta157,,Sta84,,13
Sta144,,Sta22,,13
Sta80,,Sta83,,13
Sta139,,Sta155,,13
Sta7,,Sta102,,13
Sta83,,Sta123,,13
Sta22,,Sta92,,13
Sta84,,Sta39,,13
Sta24,,Sta155,,13
Sta139,,Sta51,,13
Sta138,,Sta32,,13
Sta45,,Sta82,,13
Sta18,,Sta9,,14
Sta79,,Sta129,,14
Sta108,,Sta63,,14
Sta89,,Sta23,,14
Sta37,,Sta20,,14
Sta63,,Sta130,,14
Sta39,,Sta90,,14
Sta118,,Sta100,,14
Sta40,,Sta5,,14
Sta30,,Sta1,,14
Sta129,,Sta126,,14
Sta135,,Sta126,,14
Sta126,,Sta47,,14
Sta25,,Sta86,,14
Sta146,,Sta46,,14
Sta5,,Sta41,,14
Sta54,,Sta126,,14
Sta15,,Sta126,,14
Sta41,,Sta98,,14
Sta79,,Sta81,,14
Sta29,,Sta9,,14
Sta70,,Sta118,,14
Sta67,,Sta108,,14
Sta134,,Sta23,,14
Sta40,,Sta86,,14
Sta5,,Sta138,,14
Sta122,,Sta13,,14
Sta42,,Sta112,,14
Sta23,,Sta95,,14
Sta81,,Sta159,,14
Sta161,,Sta30,,14
Sta137,,Sta26,,14
Sta83,,Sta79,,14
Sta127,,Sta92,,14
Sta132,,Sta23,,14
Sta63,,Sta9,,14
Sta63,,Sta98,,14
Sta2,,Sta59,,14
Sta161,,Sta50,,14
Sta46,,Sta1,,14
Sta71,,Sta51,,14
Sta18,,Sta29,,14
Sta98,,Sta108,,14
Sta123,,Sta78,,14
Sta23,,Sta135,,14
Sta34,,Sta149,,14
Sta146,,Sta92,,14
Sta16,,Sta43,,14
Sta167,,Sta26,,14
Sta69,,Sta90,,14
Sta115,,Sta26,,14
Sta29,,Sta47,,14
Sta167,,Sta115,,14
Sta107,,Sta1,,14
Sta3,,Sta95,,14
Sta36,,Sta140,,14
Sta90,,Sta54,,14
Sta90,,Sta114,,14
Sta35,,Sta153,,14
Sta68,,Sta139,,14
Sta83,,Sta127,,14
Sta21,,Sta67,,14
Sta75,,Sta82,,14
Sta50,,Sta21,,14
Sta20,,Sta101,,14
Sta1,,Sta86,,14
Sta88,,Sta6,,14
Sta35,,Sta158,,14
Sta53,,Sta5,,14
Sta3,,Sta5,,14
Sta168,,Sta26,,14
Sta108,,Sta78,,14
Sta5,,Sta123,,14
Sta95,,Sta157,,14
Sta114,,Sta3,,14
Sta154,,Sta5,,14
Sta151,,Sta123,,14
Sta59,,Sta26,,14
Sta114,,Sta131,,14
Sta60,,Sta41,,14
Sta67,,Sta116,,14
Sta162,,Sta135,,14
Sta118,,Sta98,,14
Sta120,,Sta3,,14
Sta29,,Sta39,,14
Sta91,,Sta73,,14
Sta97,,Sta128,,14
Sta168,,Sta46,,14
Sta70,,Sta77,,14
Sta20,,Sta140,,14
Sta84,,Sta86,,14
Sta31,,Sta118,,14
Sta34,,Sta64,,14
Sta72,,Sta84,,14
Sta124,,Sta36,,14
Sta93,,Sta25,,14
Sta56,,Sta13,,14
Sta163,,Sta47,,14
Sta46,,Sta157,,14
Sta16,,Sta17,,14
Sta61,,Sta161,,14
Sta15,,Sta56,,14
Sta85,,Sta145,,14
Sta162,,Sta100,,14
Sta22,,Sta66,,14
Sta95,,Sta113,,14
Sta101,,Sta56,,14
Sta76,,Sta24,,14
Sta91,,Sta30,,14
Sta22,,Sta32,,14
Sta45,,Sta8,,14
Sta77,,Sta166,,14
Sta57,,Sta48,,14
Sta20,,Sta40,,15
Sta126,,Sta30,,15
Sta127,,Sta30,,15
Sta123,,Sta53,,15
Sta107,,Sta110,,15
Sta41,,Sta12,,15
Sta29,,Sta108,,15
Sta89,,Sta47,,15
Sta104,,Sta74,,15
Sta2,,Sta114,,15
Sta67,,Sta63,,15
Sta54,,Sta37,,15
Sta76,,Sta81,,15
Sta110,,Sta74,,15
Sta156,,Sta51,,15
Sta119,,Sta155,,15
Sta9,,Sta5,,15
Sta44,,Sta109,,15
Sta94,,Sta103,,15
Sta42,,Sta142,,15
Sta133,,Sta144,,15
Sta121,,Sta109,,15
Sta115,,Sta55,,15
Sta107,,Sta79,,15
Sta63,,Sta115,,15
Sta23,,Sta111,,15
Sta69,,Sta10,,15
Sta68,,Sta123,,15
Sta129,,Sta83,,15
Sta127,,Sta52,,15
Sta137,,Sta56,,15
Sta4,,Sta135,,15
Sta20,,Sta126,,15
Sta69,,Sta137,,15
Sta127,,Sta5,,15
Sta40,,Sta54,,15
Sta157,,Sta85,,15
Sta158,,Sta135,,15
Sta20,,Sta114,,15
Sta134,,Sta165,,15
Sta129,,Sta18,,15
Sta114,,Sta98,,15
Sta97,,Sta83,,15
Sta5,,Sta22,,15
Sta27,,Sta108,,15
Sta37,,Sta17,,15
Sta131,,Sta141,,15
Sta157,,Sta118,,15
Sta98,,Sta81,,15
Sta86,,Sta126,,15
Sta123,,Sta129,,15
Sta162,,Sta5,,15
