arrival,departure,time
Sta146,Sta63,1020
Sta40,Sta17,1080
Sta95,Sta92,1080
Sta99,Sta124,1020
Sta157,Sta142,1500
Sta87,Sta34,5640
Sta30,Sta131,1380
Sta105,Sta126,3300
Sta141,Sta126,1380
Sta118,Sta63,1020
Sta67,Sta134,12900
Sta101,Sta89,1020
Sta20,Sta98,1200
Sta64,Sta129,1380
Sta114,Sta132,1560
Sta89,Sta107,1020
Sta131,Sta29,1080
Sta20,Sta157,1200
Sta89,Sta40,1620
Sta31,Sta54,1020
Sta70,Sta20,1020
Sta55,Sta122,1080
Sta86,Sta162,1020
Sta67,Sta80,1800
Sta108,Sta63,1020
Sta154,Sta107,1020
Sta54,Sta134,10440
Sta134,Sta89,1560
Sta93,Sta90,1200
Sta89,Sta65,1740
Sta99,Sta36,1020
Sta126,Sta49,11340
Sta144,Sta30,1020
Sta108,Sta70,2400
Sta149,Sta114,3900
Sta41,Sta126,1140
Sta108,Sta46,1320
Sta95,Sta46,1020
Sta146,Sta95,1500
Sta138,Sta74,3420
Sta139,Sta127,1500
Sta160,Sta88,1020
Sta42,Sta125,1200
Sta67,Sta141,1800
Sta66,Sta61,1020
Sta56,Sta132,1020
Sta48,Sta118,1800
Sta130,Sta46,1020
Sta40,Sta63,1140
Sta81,Sta155,1800
Sta130,Sta162,1560
Sta126,Sta9,1020
Sta69,Sta132,1020
Sta163,Sta68,1860
Sta127,Sta48,1020
Sta114,Sta168,1020
Sta149,Sta9,3900
Sta89,Sta1,1320
Sta118,Sta127,1860
Sta28,Sta20,2400
Sta129,Sta81,1260
Sta60,Sta91,1020
Sta97,Sta120,1800
Sta89,Sta79,1440
Sta49,Sta34,1020
Sta134,Sta2,1020
Sta15,Sta72,1020
Sta136,Sta17,1020
Sta160,Sta63,1800
Sta127,Sta156,2760
Sta89,Sta31,1020
Sta42,Sta35,1080
Sta69,Sta124,3180
Sta134,Sta76,3660
Sta26,Sta141,1260
Sta144,Sta74,1800
Sta123,Sta53,1020
Sta87,Sta88,1020
Sta23,Sta69,1020
Sta156,Sta40,3120
Sta129,Sta149,3060
Sta133,Sta40,1800
Sta108,Sta30,1020
Sta52,Sta54,3120
Sta141,Sta161,3180
Sta126,Sta73,1800
Sta127,Sta9,1260
Sta47,Sta86,1260
Sta123,Sta127,1020
Sta89,Sta23,1020
Sta89,Sta5,1260
Sta101,Sta87,3060
Sta23,Sta86,1080
Sta43,Sta63,2760
Sta25,Sta82,3000
Sta153,Sta66,5520
Sta119,Sta115,1800
Sta88,Sta63,10740
Sta89,Sta97,1020
Sta90,Sta118,1020
Sta76,Sta100,3120
Sta89,Sta17,1020
Sta100,Sta115,1020
Sta69,Sta129,2160
Sta47,Sta64,1020
Sta37,Sta20,1020
Sta108,Sta89,1020
Sta84,Sta90,1740
Sta4,Sta81,3600
Sta49,Sta104,1020
Sta95,Sta126,1080
Sta23,Sta70,1020
Sta107,Sta64,1020
Sta122,Sta157,2400
Sta11,Sta115,3780
Sta40,Sta118,1020
Sta100,Sta40,1020
Sta87,Sta167,1800
Sta82,Sta40,1860
Sta155,Sta61,1020
Sta40,Sta76,2640
Sta5,Sta126,1020
Sta29,Sta93,1860
Sta126,Sta42,1800
Sta23,Sta30,13380
Sta42,Sta161,1800
Sta127,Sta148,1020
Sta134,Sta22,1800
Sta9,Sta79,1020
Sta75,Sta63,3180
Sta168,Sta88,1620
Sta107,Sta129,1020
Sta20,Sta30,1800
Sta56,Sta95,1080
Sta70,Sta47,2220
Sta84,Sta26,1020
Sta107,Sta5,1020
Sta41,Sta115,1380
Sta130,Sta80,1800
Sta126,Sta1,1020
Sta144,Sta29,540
Sta30,Sta67,1020
Sta63,Sta130,1020
Sta87,Sta135,1740
Sta84,Sta88,1980
Sta93,Sta63,1020
Sta85,Sta63,1500
Sta148,Sta134,2760
Sta134,Sta30,1800
Sta12,Sta61,1020
Sta20,Sta154,1800
Sta107,Sta132,3120
Sta90,Sta86,1020
Sta63,Sta47,1020
Sta30,Sta47,1020
Sta137,Sta85,1860
Sta63,Sta154,1260
Sta134,Sta5,1740
Sta81,Sta143,2760
Sta107,Sta110,1020
Sta5,Sta63,1020
Sta39,Sta107,1920
Sta103,Sta69,2820
Sta100,Sta42,1680
Sta85,Sta118,1320
Sta62,Sta94,2520
Sta56,Sta114,1020
Sta115,Sta86,1020
Sta84,Sta69,1020
Sta122,Sta63,1800
Sta142,Sta107,1800
Sta63,Sta126,1020
Sta72,Sta26,1140
Sta67,Sta120,1800
Sta115,Sta20,1020
Sta99,Sta28,1020
Sta20,Sta123,1980
Sta126,Sta100,1020
Sta40,Sta67,1080
Sta160,Sta138,4440
Sta154,Sta141,2760
Sta118,Sta17,1020
Sta55,Sta120,2580
Sta107,Sta63,1140
Sta43,Sta37,1020
Sta1,Sta127,1020
Sta74,Sta89,1200
Sta146,Sta56,1800
Sta39,Sta90,1020
Sta20,Sta122,1320
Sta132,Sta15,1800
Sta82,Sta28,2220
Sta87,Sta155,1800
Sta12,Sta20,2880
Sta125,Sta44,12300
Sta29,Sta63,1020
Sta23,Sta152,1560
Sta163,Sta151,1920
Sta30,Sta95,1740
Sta90,Sta137,1020
Sta90,Sta89,1020
Sta93,Sta40,1500
Sta89,Sta99,3240
Sta39,Sta167,1260
Sta33,Sta42,1020
Sta13,Sta157,1860
Sta158,Sta129,2580
Sta129,Sta121,1800
Sta63,Sta101,2100
Sta68,Sta63,1980
Sta134,Sta129,1740
Sta139,Sta134,1800
Sta23,Sta126,1020
Sta74,Sta1,1800
Sta65,Sta34,1080
Sta158,Sta63,1800
Sta157,Sta135,1020
Sta21,Sta143,1440
Sta118,Sta100,1020
Sta159,Sta141,2280
Sta9,Sta81,1440
Sta21,Sta89,1800
Sta67,Sta114,1380
Sta63,Sta32,1020
Sta65,Sta80,1620
Sta20,Sta55,1020
Sta29,Sta107,1080
Sta121,Sta1,4800
Sta129,Sta41,11040
Sta68,Sta27,1020
Sta98,Sta40,1020
Sta86,Sta12,1800
Sta23,Sta46,1200
Sta23,Sta63,1320
Sta136,Sta157,2340
Sta49,Sta118,3960
Sta63,Sta89,10200
Sta29,Sta72,1500
Sta81,Sta89,1560
Sta40,Sta32,1920
Sta46,Sta64,1800
Sta40,Sta5,1020
Sta80,Sta74,1080
Sta31,Sta136,1020
Sta55,Sta166,1680
Sta91,Sta126,1680
Sta90,Sta20,1020
Sta89,Sta128,1080
Sta84,Sta23,1020
Sta123,Sta81,1020
Sta98,Sta109,3060
Sta107,Sta30,11700
Sta132,Sta89,1620
Sta20,Sta96,1200
Sta81,Sta74,1800
Sta126,Sta12,1800
Sta112,Sta87,1020
Sta138,Sta1,1080
Sta104,Sta154,1800
Sta80,Sta89,1020
Sta131,Sta108,1440
Sta163,Sta98,540
Sta20,Sta77,1140
Sta49,Sta110,1200
Sta162,Sta46,1020
Sta67,Sta17,1800
Sta79,Sta63,11280
Sta138,Sta21,1020
Sta156,Sta17,4500
Sta134,Sta4,1020
Sta23,Sta127,2160
Sta84,Sta89,1260
Sta39,Sta126,1020
Sta5,Sta122,1800
Sta160,Sta103,1140
Sta134,Sta88,1320
Sta149,Sta89,1380
Sta130,Sta134,2040
Sta159,Sta47,1080
Sta44,Sta112,1320
Sta40,Sta151,2220
Sta63,Sta80,1740
Sta64,Sta49,1740
Sta101,Sta31,1140
Sta5,Sta30,1020
Sta23,Sta115,1020
Sta94,Sta134,1620
Sta44,Sta92,2700
Sta67,Sta29,1020
Sta108,Sta134,2340
Sta28,Sta42,1800
Sta127,Sta135,16260
Sta156,Sta34,4620
Sta117,Sta102,2820
Sta14,Sta84,3000
Sta41,Sta12,1020
Sta109,Sta126,1800
Sta29,Sta108,1020
Sta86,Sta63,1020
Sta27,Sta129,1500
Sta49,Sta135,1800
Sta138,Sta41,1140
Sta97,Sta134,3480
Sta23,Sta37,1020
Sta30,Sta1,1020
Sta68,Sta81,1020
Sta117,Sta142,1020
Sta114,Sta17,1080
Sta122,Sta99,1020
Sta87,Sta151,4980
Sta22,Sta30,1020
Sta110,Sta65,1440
Sta129,Sta88,1800
Sta72,Sta153,4140
Sta102,Sta23,2580
Sta132,Sta37,1020
Sta52,Sta126,2160
Sta14,Sta30,1680
Sta87,Sta129,3360
Sta113,Sta18,2340
Sta16,Sta69,1140
Sta126,Sta115,1020
Sta56,Sta50,1800
Sta129,Sta65,1800
Sta126,Sta104,1800
Sta110,Sta9,15240
Sta158,Sta142,1260
Sta63,Sta103,1800
Sta1,Sta134,1800
Sta127,Sta79,1020
Sta114,Sta134,1020
Sta88,Sta44,1800
Sta155,Sta108,1800
Sta31,Sta38,2280
Sta61,Sta156,1020
Sta29,Sta128,2640
Sta73,Sta129,2460
Sta53,Sta9,1020
Sta162,Sta157,1020
Sta129,Sta135,1740
Sta142,Sta91,2820
Sta20,Sta118,1020
Sta65,Sta49,1020
Sta93,Sta107,1800
Sta92,Sta129,1140
Sta5,Sta80,1380
Sta9,Sta115,1320
Sta158,Sta126,1740
Sta117,Sta141,1020
Sta158,Sta147,1020
Sta123,Sta120,2460
Sta29,Sta139,2760
Sta134,Sta102,2700
Sta7,Sta20,1800
Sta123,Sta52,1020
Sta84,Sta17,1020
Sta120,Sta69,2700
Sta98,Sta61,2400
Sta5,Sta110,11580
Sta134,Sta156,1800
Sta89,Sta47,1020
Sta22,Sta132,3000
Sta87,Sta162,1800
Sta29,Sta88,2820
Sta83,Sta143,3420
Sta98,Sta42,2640
Sta124,Sta126,3180
Sta79,Sta126,1020
Sta63,Sta3,1020
Sta23,Sta67,1560
Sta135,Sta100,1440
Sta94,Sta135,1800
Sta131,Sta120,2340
Sta98,Sta126,1020
Sta129,Sta126,1020
Sta81,Sta90,1800
Sta8,Sta160,1020
Sta118,Sta114,1020
Sta104,Sta74,1020
Sta47,Sta1,1020
Sta129,Sta89,1500
Sta122,Sta103,3900
Sta112,Sta126,1800
Sta81,Sta134,1800
Sta25,Sta148,1860
Sta134,Sta115,1020
Sta123,Sta126,1080
Sta63,Sta97,1800
Sta83,Sta63,1020
Sta84,Sta92,1440
Sta83,Sta40,1440
Sta138,Sta30,1020
Sta47,Sta6,4680
Sta48,Sta107,1380
Sta41,Sta108,1260
Sta129,Sta114,1020
Sta40,Sta127,1620
Sta126,Sta111,1560
Sta91,Sta132,3300
Sta160,Sta168,2100
Sta23,Sta99,1800
Sta32,Sta60,1020
Sta108,Sta122,3240
Sta12,Sta157,3060
Sta30,Sta89,1800
Sta90,Sta136,1320
Sta134,Sta56,10140
Sta151,Sta20,2760
Sta66,Sta31,3780
Sta40,Sta30,1200
Sta63,Sta123,1020
Sta115,Sta1,1020
Sta126,Sta72,1200
Sta162,Sta129,1320
Sta98,Sta1,1020
Sta141,Sta40,1080
Sta125,Sta63,3960
Sta126,Sta40,1020
Sta49,Sta74,1020
Sta134,Sta46,1140
Sta110,Sta81,1800
Sta135,Sta126,1020
Sta20,Sta89,1080
Sta125,Sta121,1020
Sta81,Sta47,1020
Sta9,Sta134,1800
Sta146,Sta13,2880
Sta141,Sta120,2940
Sta129,Sta33,4260
Sta63,Sta159,1020
Sta79,Sta110,1800
Sta2,Sta114,1020
Sta13,Sta36,1020
Sta109,Sta5,1800
Sta140,Sta5,2220
Sta17,Sta23,1380
Sta123,Sta25,1980
Sta49,Sta89,12060
Sta135,Sta134,1020
Sta107,Sta120,1800
Sta110,Sta108,1200
Sta54,Sta146,2160
Sta87,Sta15,1800
Sta115,Sta129,1140
Sta127,Sta68,1020
Sta134,Sta162,1020
Sta3,Sta15,1020
Sta63,Sta94,2940
Sta89,Sta142,2280
Sta126,Sta14,1800
Sta61,Sta25,1800
Sta98,Sta83,1080
Sta54,Sta94,3360
Sta141,Sta148,3120
Sta154,Sta74,1620
Sta35,Sta123,3600
Sta106,Sta110,1080
Sta146,Sta88,3120
Sta9,Sta78,1020
Sta22,Sta107,1740
Sta96,Sta23,1020
Sta20,Sta54,1020
Sta47,Sta53,1020
Sta138,Sta155,1980
Sta87,Sta37,3960
Sta100,Sta108,1680
Sta50,Sta134,3900
Sta126,Sta47,1020
Sta67,Sta63,1020
Sta82,Sta135,2160
Sta143,Sta126,3000
Sta69,Sta37,1020
Sta99,Sta47,3840
Sta69,Sta56,1020
Sta136,Sta132,2040
Sta1,Sta27,1260
Sta146,Sta118,1680
Sta54,Sta37,1020
Sta12,Sta67,1140
Sta63,Sta144,1020
Sta40,Sta167,1020
Sta127,Sta27,1320
Sta9,Sta143,3660
Sta87,Sta134,1500
Sta93,Sta55,2100
Sta129,Sta29,1020
Sta115,Sta132,1260
Sta130,Sta136,3420
Sta76,Sta81,1020
Sta74,Sta129,1800
Sta5,Sta56,1080
Sta134,Sta137,1500
Sta25,Sta86,1020
Sta61,Sta9,1800
Sta115,Sta13,1260
Sta98,Sta68,1500
Sta144,Sta41,1020
Sta42,Sta87,1020
Sta108,Sta1,1020
Sta15,Sta115,1020
Sta123,Sta167,1800
Sta130,Sta72,1200
Sta81,Sta100,2160
Sta104,Sta129,1800
Sta146,Sta46,1020
Sta81,Sta127,1020
Sta93,Sta20,1560
Sta25,Sta133,1860
Sta168,Sta85,1020
Sta32,Sta70,2940
Sta82,Sta129,2820
Sta32,Sta87,3480
Sta32,Sta90,2040
Sta5,Sta41,10140
Sta77,Sta15,2280
Sta100,Sta5,1260
Sta88,Sta156,5640
Sta20,Sta61,1800
Sta57,Sta81,1020
Sta12,Sta30,1020
Sta100,Sta129,1680
Sta122,Sta47,1800
Sta89,Sta122,1800
Sta107,Sta49,1800
Sta93,Sta136,2460
Sta96,Sta37,1020
Sta20,Sta23,1020
Sta89,Sta69,1140
Sta100,Sta47,1680
Sta27,Sta76,1020
Sta47,Sta49,1800
Sta110,Sta74,1020
Sta127,Sta142,2940
Sta97,Sta110,1020
Sta167,Sta141,1020
Sta93,Sta134,1140
Sta134,Sta158,13080
Sta109,Sta84,1800
Sta156,Sta51,1020
Sta142,Sta14,3660
Sta72,Sta42,1800
Sta30,Sta158,1800
Sta72,Sta100,1020
Sta118,Sta89,1200
Sta119,Sta155,1020
Sta127,Sta136,3720
Sta30,Sta56,1620
Sta85,Sta40,1140
Sta127,Sta89,1440
Sta29,Sta54,1080
Sta35,Sta87,1020
Sta73,Sta127,1020
Sta37,Sta89,1500
Sta69,Sta115,1020
Sta127,Sta126,1260
Sta14,Sta112,6180
Sta35,Sta44,1020
Sta122,Sta115,10920
Sta84,Sta95,1380
Sta143,Sta155,1020
Sta37,Sta118,1020
Sta160,Sta115,2880
Sta42,Sta107,3600
Sta5,Sta82,2520
Sta162,Sta146,13140
Sta40,Sta114,1020
Sta123,Sta9,1140
Sta115,Sta46,1020
Sta98,Sta100,1080
Sta63,Sta31,1920
Sta149,Sta107,1920
Sta107,Sta40,1560
Sta99,Sta69,2640
Sta164,Sta67,1800
Sta48,Sta81,1020
Sta15,Sta155,3600
Sta124,Sta30,1800
Sta80,Sta47,1020
Sta15,Sta84,1020
Sta110,Sta115,1800
Sta9,Sta5,1020
Sta88,Sta114,1740
Sta47,Sta79,1020
Sta100,Sta131,1080
Sta28,Sta124,1020
Sta108,Sta115,1200
Sta25,Sta83,1800
Sta126,Sta113,1200
Sta25,Sta1,1020
Sta98,Sta129,1020
Sta79,Sta167,1740
Sta49,Sta149,1200
Sta140,Sta122,1020
Sta119,Sta72,2460
Sta126,Sta83,1080
Sta89,Sta83,1020
Sta155,Sta25,3540
Sta44,Sta109,1020
Sta77,Sta99,1020
Sta134,Sta86,1020
Sta12,Sta98,1680
Sta20,Sta10,1440
Sta162,Sta63,1020
Sta20,Sta144,1620
Sta134,Sta121,15360
Sta115,Sta31,1020
Sta126,Sta56,1020
Sta9,Sta144,1200
Sta47,Sta27,1020
Sta129,Sta127,11880
Sta127,Sta85,2580
Sta17,Sta86,1380
Sta88,Sta126,1800
Sta78,Sta48,1440
Sta79,Sta68,1380
Sta163,Sta79,1020
Sta145,Sta28,4800
Sta54,Sta126,1020
Sta94,Sta103,1020
Sta99,Sta56,2400
Sta117,Sta89,2880
Sta134,Sta85,1020
Sta76,Sta11,12840
Sta15,Sta126,1020
Sta9,Sta40,1320
Sta30,Sta41,1020
Sta134,Sta72,1020
Sta98,Sta135,1260
Sta137,Sta136,1020
Sta100,Sta107,1800
Sta34,Sta138,1800
Sta108,Sta72,1800
Sta134,Sta12,1800
Sta110,Sta57,3120
Sta94,Sta20,2580
Sta167,Sta126,1020
Sta61,Sta119,1020
Sta134,Sta92,11040
Sta42,Sta41,10140
Sta21,Sta72,1860
Sta104,Sta59,6600
Sta95,Sta111,1920
Sta15,Sta67,1500
Sta85,Sta136,2220
Sta108,Sta107,1020
Sta92,Sta40,1740
Sta63,Sta81,1500
Sta127,Sta104,3600
Sta25,Sta30,1380
Sta42,Sta135,1620
Sta167,Sta125,2520
Sta29,Sta104,1800
Sta56,Sta122,1620
Sta78,Sta27,1200
Sta30,Sta21,1020
Sta113,Sta76,3600
Sta68,Sta9,1800
Sta74,Sta126,1800
Sta93,Sta89,2220
Sta12,Sta56,2640
Sta9,Sta57,2460
Sta141,Sta149,4920
Sta72,Sta61,2820
Sta41,Sta98,1020
Sta40,Sta42,2040
Sta162,Sta99,2820
Sta25,Sta134,1680
Sta100,Sta55,1680
Sta1,Sta63,1020
Sta132,Sta5,1800
Sta26,Sta17,1140
Sta47,Sta123,1020
Sta79,Sta81,1020
Sta129,Sta30,1020
Sta13,Sta70,1080
Sta42,Sta113,1200
Sta120,Sta33,5100
Sta85,Sta160,1680
Sta154,Sta47,1020
Sta47,Sta68,1080
Sta13,Sta81,3180
Sta161,Sta84,2940
Sta63,Sta60,1680
Sta135,Sta137,1440
Sta21,Sta156,1260
Sta128,Sta65,1020
Sta12,Sta40,1800
Sta167,Sta109,1740
Sta126,Sta133,10920
Sta3,Sta148,1440
Sta61,Sta126,11700
Sta17,Sta132,1080
Sta134,Sta98,1680
Sta86,Sta157,1020
Sta63,Sta72,1020
Sta123,Sta130,1800
Sta95,Sta162,1020
Sta9,Sta83,1440
Sta76,Sta127,1020
Sta143,Sta5,2700
Sta84,Sta93,1020
Sta115,Sta135,1020
Sta142,Sta109,1320
Sta167,Sta11,1800
Sta130,Sta20,1800
Sta107,Sta115,1500
Sta134,Sta41,10320
Sta40,Sta48,1800
Sta24,Sta125,7080
Sta53,Sta79,1020
Sta140,Sta63,1800
Sta121,Sta5,4260
Sta159,Sta126,1020
Sta5,Sta159,1020
Sta110,Sta47,1320
Sta88,Sta138,1800
Sta14,Sta41,1320
Sta74,Sta34,1020
Sta79,Sta20,1680
Sta114,Sta63,1020
Sta15,Sta120,1440
Sta64,Sta134,3060
Sta86,Sta22,1620
Sta90,Sta70,1020
Sta127,Sta47,1020
Sta87,Sta145,1020
Sta5,Sta120,1620
Sta25,Sta54,2040
Sta81,Sta151,1020
Sta22,Sta126,1380
Sta134,Sta49,1800
Sta63,Sta22,1380
Sta138,Sta81,1800
Sta12,Sta167,2880
Sta107,Sta25,1920
Sta115,Sta98,1020
Sta104,Sta47,1800
Sta158,Sta47,1800
Sta49,Sta97,1380
Sta126,Sta57,2520
Sta63,Sta41,1020
Sta122,Sta40,2160
Sta81,Sta135,1800
Sta79,Sta67,1020
Sta42,Sta142,1020
Sta110,Sta104,1680
Sta155,Sta93,3180
Sta156,Sta138,1680
Sta135,Sta168,1200
Sta29,Sta9,1020
Sta86,Sta127,1680
Sta112,Sta117,1320
Sta136,Sta11,5220
Sta162,Sta56,1020
Sta127,Sta25,1500
Sta115,Sta120,1800
Sta30,Sta64,10800
Sta135,Sta88,1560
Sta30,Sta123,1500
Sta52,Sta9,2100
Sta100,Sta142,1020
Sta115,Sta33,1800
Sta95,Sta90,1020
Sta61,Sta142,1800
Sta26,Sta31,1020
Sta67,Sta115,1020
Sta134,Sta157,1020
Sta70,Sta168,1680
Sta72,Sta159,1680
Sta20,Sta81,14040
Sta134,Sta61,21000
Sta118,Sta69,1020
Sta114,Sta5,1020
Sta29,Sta115,1020
Sta46,Sta47,1140
Sta129,Sta75,4080
Sta105,Sta81,1740
Sta162,Sta119,2700
Sta162,Sta69,1020
Sta148,Sta86,1980
Sta126,Sta140,1740
Sta56,Sta43,1380
Sta53,Sta146,2100
Sta22,Sta20,1800
Sta144,Sta120,1800
Sta115,Sta40,1020
Sta126,Sta64,1740
Sta20,Sta68,2880
Sta97,Sta107,1020
Sta41,Sta127,1020
Sta53,Sta63,1140
Sta162,Sta90,1140
Sta129,Sta47,1020
Sta98,Sta30,1020
Sta67,Sta149,11160
Sta121,Sta11,1080
Sta125,Sta32,5040
Sta133,Sta144,1020
Sta160,Sta17,2940
Sta4,Sta30,1800
Sta85,Sta22,3180
Sta157,Sta99,1800
Sta55,Sta88,3240
Sta126,Sta35,1800
Sta34,Sta107,1200
Sta158,Sta141,1020
Sta72,Sta67,1560
Sta70,Sta67,2100
Sta20,Sta84,1020
Sta115,Sta57,1800
Sta157,Sta22,2700
Sta118,Sta115,1020
Sta47,Sta76,1380
Sta5,Sta29,1020
Sta23,Sta41,2040
Sta91,Sta4,2820
Sta55,Sta134,1440
Sta134,Sta14,3120
Sta122,Sta134,10440
Sta166,Sta28,1020
Sta27,Sta97,2100
Sta160,Sta31,2940
Sta67,Sta22,1020
Sta110,Sta64,1020
Sta117,Sta88,1560
Sta63,Sta30,1020
Sta122,Sta46,2700
Sta4,Sta8,1680
Sta81,Sta115,1620
Sta56,Sta17,1020
Sta118,Sta26,1020
Sta111,Sta140,240
Sta89,Sta64,1140
Sta108,Sta159,1020
Sta144,Sta80,1740
Sta70,Sta22,2700
Sta59,Sta72,1320
Sta72,Sta35,2520
Sta99,Sta111,1440
Sta42,Sta158,1020
Sta35,Sta63,29280
Sta75,Sta41,3960
Sta140,Sta89,1980
Sta127,Sta22,1080
Sta159,Sta1,300
Sta61,Sta55,3720
Sta146,Sta67,1740
Sta121,Sta112,1020
Sta63,Sta157,1020
Sta129,Sta72,10740
Sta63,Sta42,10200
Sta55,Sta126,1140
Sta18,Sta141,15240
Sta121,Sta109,1020
Sta126,Sta21,1620
Sta122,Sta82,1020
Sta135,Sta60,2340
Sta104,Sta155,5940
Sta90,Sta22,1800
Sta70,Sta118,1020
Sta55,Sta59,1560
Sta115,Sta30,10680
Sta158,Sta7,2160
Sta4,Sta2,1020
Sta50,Sta30,1560
Sta16,Sta56,1020
Sta70,Sta63,1800
Sta67,Sta108,1020
Sta93,Sta17,1560
Sta126,Sta29,1020
Sta161,Sta142,3420
Sta134,Sta3,1380
Sta71,Sta61,1620
Sta1,Sta151,1680
Sta61,Sta63,2820
Sta118,Sta23,1020
Sta21,Sta63,1800
Sta126,Sta142,1500
Sta88,Sta112,1320
Sta44,Sta126,1800
Sta66,Sta126,1800
Sta125,Sta4,2880
Sta52,Sta81,1020
Sta67,Sta34,2400
Sta54,Sta69,1020
Sta108,Sta141,2460
Sta63,Sta15,1020
Sta103,Sta119,4380
Sta115,Sta156,3060
Sta40,Sta146,1800
Sta89,Sta154,1020
Sta41,Sta46,1080
Sta107,Sta47,1020
Sta101,Sta32,1800
Sta126,Sta8,1800
Sta160,Sta117,1500
Sta106,Sta89,1020
Sta108,Sta34,1380
Sta93,Sta19,1800
Sta61,Sta135,3660
Sta48,Sta129,1740
Sta81,Sta40,1560
Sta63,Sta25,1020
Sta90,Sta12,2880
Sta121,Sta107,5100
Sta63,Sta104,10500
Sta134,Sta23,1020
Sta23,Sta62,1500
Sta46,Sta158,1740
Sta141,Sta115,1260
Sta63,Sta91,1080
Sta117,Sta158,1020
Sta130,Sta114,1260
Sta162,Sta49,1800
Sta118,Sta46,1020
Sta99,Sta55,1800
Sta47,Sta118,1440
Sta17,Sta48,1800
Sta127,Sta49,1800
Sta23,Sta94,3000
Sta129,Sta54,1800
Sta146,Sta89,2520
Sta131,Sta50,3180
Sta93,Sta30,10140
Sta127,Sta88,12600
Sta128,Sta127,2700
Sta129,Sta50,2760
Sta135,Sta108,1800
Sta28,Sta69,3000
Sta50,Sta155,1020
Sta55,Sta89,1380
Sta44,Sta54,2820
Sta1,Sta105,2880
Sta63,Sta87,1800
Sta136,Sta115,1620
Sta151,Sta122,4500
Sta158,Sta109,1080
Sta108,Sta5,1020
Sta40,Sta47,1200
Sta168,Sta134,1020
Sta106,Sta5,1860
Sta163,Sta110,1800
Sta83,Sta107,1020
Sta141,Sta100,1020
Sta136,Sta112,1800
Sta127,Sta78,1020
Sta132,Sta47,2580
Sta168,Sta63,1020
Sta82,Sta126,1800
Sta110,Sta53,2280
Sta123,Sta154,1020
Sta13,Sta23,1020
Sta89,Sta126,10620
Sta153,Sta63,4140
Sta127,Sta91,1200
Sta145,Sta118,2100
Sta32,Sta127,1020
Sta109,Sta163,3660
Sta34,Sta130,3420
Sta67,Sta151,1800
Sta44,Sta142,1020
Sta89,Sta34,1020
Sta63,Sta64,1560
Sta156,Sta76,1800
Sta132,Sta54,1140
