arrival,Stain,distin,departure,Staout,distout,time
Sta20,11号线,Dist5,Sta26,12号线,Dist5,9
Sta16,5号线,Dist5,Sta23,11号线,Dist5,9
Sta95,12号线,Dist5,Sta168,10号线,Dist5,9
Sta159,1号线,Dist1,Sta144,3号线,Dist6,9
Sta167,3号线,Dist5,Sta84,4号线,Dist5,9
Sta95,12号线,Dist5,Sta46,11号线,Dist8,10
Sta100,3号线,Dist5,Sta115,11号线,Dist5,10
Sta93,12号线,Dist6,Sta63,11号线,Dist1,10
Sta84,4号线,Dist5,Sta23,11号线,Dist5,10
Sta112,3号线,Dist5,Sta87,10号线,Dist8,10
Sta23,11号线,Dist5,Sta37,5号线,Dist5,10
Sta84,4号线,Dist5,Sta17,12号线,Dist8,10
Sta63,11号线,Dist1,Sta159,1号线,Dist1,10
Sta40,3号线,Dist5,Sta114,10号线,Dist5,10
Sta126,3号线,Dist1,Sta56,11号线,Dist5,10
Sta154,1号线,Dist3,Sta47,2号线,Dist1,10
Sta95,12号线,Dist5,Sta162,11号线,Dist5,10
Sta114,10号线,Dist5,Sta63,11号线,Dist1,10
Sta118,11号线,Dist5,Sta69,5号线,Dist5,10
Sta41,3号线,Dist6,Sta127,2号线,Dist2,10
Sta67,3号线,Dist6,Sta1,1号线,Dist1,10
Sta54,5号线,Dist5,Sta115,11号线,Dist5,10
Sta159,1号线,Dist1,Sta29,3号线,Dist8,10
Sta126,3号线,Dist1,Sta114,10号线,Dist5,10
Sta31,12号线,Dist8,Sta20,11号线,Dist5,10
Sta56,11号线,Dist5,Sta40,3号线,Dist5,10
Sta79,2号线,Dist1,Sta108,1号线,Dist1,10
Sta26,12号线,Dist5,Sta54,5号线,Dist5,10
Sta115,11号线,Dist5,Sta157,10号线,Dist8,10
Sta118,11号线,Dist5,Sta131,3号线,Dist5,10
Sta86,11号线,Dist8,Sta72,12号线,Dist6,10
Sta100,3号线,Dist5,Sta95,12号线,Dist5,10
Sta56,11号线,Dist5,Sta26,12号线,Dist5,10
Sta114,10号线,Dist5,Sta84,4号线,Dist5,10
Sta72,12号线,Dist6,Sta114,10号线,Dist5,10
Sta95,12号线,Dist5,Sta63,11号线,Dist1,11
Sta126,3号线,Dist1,Sta1,1号线,Dist1,11
Sta56,11号线,Dist5,Sta114,10号线,Dist5,11
Sta23,11号线,Dist5,Sta126,3号线,Dist1,11
Sta79,2号线,Dist1,Sta126,3号线,Dist1,11
Sta129,2号线,Dist1,Sta29,3号线,Dist8,11
Sta63,11号线,Dist1,Sta72,12号线,Dist6,11
Sta142,3号线,Dist5,Sta135,10号线,Dist5,11
Sta85,10号线,Dist5,Sta59,4号线,Dist8,11
Sta127,2号线,Dist2,Sta108,1号线,Dist1,11
Sta144,3号线,Dist6,Sta129,2号线,Dist1,11
Sta84,4号线,Dist5,Sta168,10号线,Dist5,11
Sta79,2号线,Dist1,Sta29,3号线,Dist8,11
Sta167,3号线,Dist5,Sta168,10号线,Dist5,11
Sta90,12号线,Dist5,Sta100,3号线,Dist5,11
Sta56,11号线,Dist5,Sta31,12号线,Dist8,11
Sta129,2号线,Dist1,Sta46,11号线,Dist8,11
Sta30,3号线,Dist6,Sta92,12号线,Dist6,11
Sta101,12号线,Dist8,Sta23,11号线,Dist5,11
Sta144,3号线,Dist6,Sta47,2号线,Dist1,11
Sta41,3号线,Dist6,Sta3,11号线,Dist6,11
Sta29,3号线,Dist8,Sta78,2号线,Dist1,11
Sta29,3号线,Dist8,Sta118,11号线,Dist5,11
Sta69,5号线,Dist5,Sta20,11号线,Dist5,11
Sta18,2号线,Dist1,Sta159,1号线,Dist1,11
Sta108,1号线,Dist1,Sta129,2号线,Dist1,12
Sta89,1号线,Dist3,Sta17,12号线,Dist8,12
Sta84,4号线,Dist5,Sta69,5号线,Dist5,12
Sta90,12号线,Dist5,Sta20,11号线,Dist5,12
Sta63,11号线,Dist1,Sta144,3号线,Dist6,12
Sta115,11号线,Dist5,Sta135,10号线,Dist5,12
Sta159,1号线,Dist1,Sta126,3号线,Dist1,12
Sta56,11号线,Dist5,Sta84,4号线,Dist5,12
Sta1,1号线,Dist1,Sta9,2号线,Dist1,12
Sta79,2号线,Dist1,Sta159,1号线,Dist1,12
Sta115,11号线,Dist5,Sta17,12号线,Dist8,12
Sta26,12号线,Dist5,Sta134,10号线,Dist5,12
Sta62,4号线,Dist8,Sta134,10号线,Dist5,12
Sta108,1号线,Dist1,Sta81,2号线,Dist2,12
Sta135,10号线,Dist5,Sta72,12号线,Dist6,12
Sta20,11号线,Dist5,Sta16,5号线,Dist5,12
Sta59,4号线,Dist8,Sta90,12号线,Dist5,12
Sta39,3号线,Dist5,Sta118,11号线,Dist5,12
Sta93,12号线,Dist6,Sta46,11号线,Dist8,12
Sta129,2号线,Dist1,Sta3,11号线,Dist6,12
Sta168,10号线,Dist5,Sta59,4号线,Dist8,12
Sta86,11号线,Dist8,Sta129,2号线,Dist1,12
Sta54,5号线,Dist5,Sta162,11号线,Dist5,12
Sta40,3号线,Dist5,Sta15,11号线,Dist8,12
Sta127,2号线,Dist2,Sta159,1号线,Dist1,12
Sta32,12号线,Dist6,Sta30,3号线,Dist6,12
Sta69,5号线,Dist5,Sta26,12号线,Dist5,12
Sta78,2号线,Dist1,Sta126,3号线,Dist1,12
Sta15,11号线,Dist8,Sta90,12号线,Dist5,12
Sta46,11号线,Dist8,Sta92,12号线,Dist6,12
Sta55,11号线,Dist5,Sta17,12号线,Dist8,12
Sta115,11号线,Dist5,Sta168,10号线,Dist5,12
Sta135,10号线,Dist5,Sta26,12号线,Dist5,12
Sta84,4号线,Dist5,Sta85,10号线,Dist5,12
Sta109,3号线,Dist5,Sta88,10号线,Dist5,12
Sta167,3号线,Dist5,Sta90,12号线,Dist5,12
Sta167,3号线,Dist5,Sta134,10号线,Dist5,12
Sta72,12号线,Dist6,Sta46,11号线,Dist8,12
Sta95,12号线,Dist5,Sta85,10号线,Dist5,12
Sta159,1号线,Dist1,Sta67,3号线,Dist6,12
Sta92,12号线,Dist6,Sta138,3号线,Dist6,12
Sta75,10号线,Dist5,Sta164,11号线,Dist5,12
Sta127,2号线,Dist2,Sta116,12号线,Dist6,12
Sta167,3号线,Dist5,Sta114,10号线,Dist5,12
Sta143,3号线,Dist7,Sta51,2号线,Dist7,12
Sta90,12号线,Dist5,Sta118,11号线,Dist5,13
Sta47,2号线,Dist1,Sta64,1号线,Dist3,13
Sta63,11号线,Dist1,Sta47,2号线,Dist1,13
Sta134,10号线,Dist5,Sta162,11号线,Dist5,13
Sta69,5号线,Dist5,Sta115,11号线,Dist5,13
Sta86,11号线,Dist8,Sta157,10号线,Dist8,13
Sta63,11号线,Dist1,Sta41,3号线,Dist6,13
Sta162,11号线,Dist5,Sta69,5号线,Dist5,13
Sta20,11号线,Dist5,Sta84,4号线,Dist5,13
Sta23,11号线,Dist5,Sta40,3号线,Dist5,13
Sta123,2号线,Dist2,Sta107,1号线,Dist2,13
Sta118,11号线,Dist5,Sta168,10号线,Dist5,13
Sta126,3号线,Dist1,Sta53,2号线,Dist1,13
Sta144,3号线,Dist6,Sta108,1号线,Dist1,13
Sta23,11号线,Dist5,Sta137,12号线,Dist3,13
Sta72,12号线,Dist6,Sta162,11号线,Dist5,13
Sta53,2号线,Dist1,Sta29,3号线,Dist8,13
Sta92,12号线,Dist6,Sta25,11号线,Dist6,13
Sta37,5号线,Dist5,Sta56,11号线,Dist5,13
Sta31,12号线,Dist8,Sta84,4号线,Dist5,13
Sta162,11号线,Dist5,Sta39,3号线,Dist5,13
Sta100,3号线,Dist5,Sta114,10号线,Dist5,13
Sta131,3号线,Dist5,Sta134,10号线,Dist5,13
Sta39,3号线,Dist5,Sta95,12号线,Dist5,13
Sta69,5号线,Dist5,Sta31,12号线,Dist8,13
Sta47,2号线,Dist1,Sta67,3号线,Dist6,13
Sta30,3号线,Dist6,Sta159,1号线,Dist1,13
Sta129,2号线,Dist1,Sta67,3号线,Dist6,13
Sta167,3号线,Dist5,Sta15,11号线,Dist8,13
Sta95,12号线,Dist5,Sta115,11号线,Dist5,13
Sta23,11号线,Dist5,Sta114,10号线,Dist5,13
Sta93,12号线,Dist6,Sta41,3号线,Dist6,13
Sta134,10号线,Dist5,Sta15,11号线,Dist8,13
Sta86,11号线,Dist8,Sta168,10号线,Dist5,13
Sta131,3号线,Dist5,Sta95,12号线,Dist5,13
Sta83,1号线,Dist2,Sta18,2号线,Dist1,13
Sta16,5号线,Dist5,Sta118,11号线,Dist5,13
Sta26,12号线,Dist5,Sta16,5号线,Dist5,13
Sta56,11号线,Dist5,Sta29,3号线,Dist8,13
Sta39,3号线,Dist5,Sta134,10号线,Dist5,13
Sta168,10号线,Dist5,Sta90,12号线,Dist5,13
Sta150,1号线,Dist3,Sta47,2号线,Dist1,13
Sta147,3号线,Dist5,Sta87,10号线,Dist8,13
Sta56,11号线,Dist5,Sta131,3号线,Dist5,13
Sta15,11号线,Dist8,Sta157,10号线,Dist8,13
Sta29,3号线,Dist8,Sta114,10号线,Dist5,13
Sta3,11号线,Dist6,Sta32,12号线,Dist6,13
Sta157,10号线,Dist8,Sta84,4号线,Dist5,13
Sta83,1号线,Dist2,Sta123,2号线,Dist2,13
Sta22,3号线,Dist6,Sta92,12号线,Dist6,13
Sta84,4号线,Dist5,Sta39,3号线,Dist5,13
Sta138,3号线,Dist6,Sta32,12号线,Dist6,13
Sta108,1号线,Dist1,Sta63,11号线,Dist1,14
Sta89,1号线,Dist3,Sta23,11号线,Dist5,14
Sta37,5号线,Dist5,Sta20,11号线,Dist5,14
Sta39,3号线,Dist5,Sta90,12号线,Dist5,14
Sta118,11号线,Dist5,Sta100,3号线,Dist5,14
Sta30,3号线,Dist6,Sta1,1号线,Dist1,14
Sta129,2号线,Dist1,Sta126,3号线,Dist1,14
Sta135,10号线,Dist5,Sta126,3号线,Dist1,14
Sta126,3号线,Dist1,Sta47,2号线,Dist1,14
Sta54,5号线,Dist5,Sta126,3号线,Dist1,14
Sta15,11号线,Dist8,Sta126,3号线,Dist1,14
Sta29,3号线,Dist8,Sta9,2号线,Dist1,14
Sta67,3号线,Dist6,Sta108,1号线,Dist1,14
Sta134,10号线,Dist5,Sta23,11号线,Dist5,14
Sta40,3号线,Dist5,Sta86,11号线,Dist8,14
Sta23,11号线,Dist5,Sta95,12号线,Dist5,14
Sta81,2号线,Dist2,Sta159,1号线,Dist1,14
Sta83,1号线,Dist2,Sta79,2号线,Dist1,14
Sta127,2号线,Dist2,Sta92,12号线,Dist6,14
Sta132,5号线,Dist5,Sta23,11号线,Dist5,14
Sta63,11号线,Dist1,Sta9,2号线,Dist1,14
Sta2,10号线,Dist5,Sta59,4号线,Dist8,14
Sta46,11号线,Dist8,Sta1,1号线,Dist1,14
Sta18,2号线,Dist1,Sta29,3号线,Dist8,14
Sta23,11号线,Dist5,Sta135,10号线,Dist5,14
Sta146,11号线,Dist6,Sta92,12号线,Dist6,14
Sta167,3号线,Dist5,Sta26,12号线,Dist5,14
Sta69,5号线,Dist5,Sta90,12号线,Dist5,14
Sta115,11号线,Dist5,Sta26,12号线,Dist5,14
Sta29,3号线,Dist8,Sta47,2号线,Dist1,14
Sta167,3号线,Dist5,Sta115,11号线,Dist5,14
Sta3,11号线,Dist6,Sta95,12号线,Dist5,14
Sta90,12号线,Dist5,Sta54,5号线,Dist5,14
Sta90,12号线,Dist5,Sta114,10号线,Dist5,14
Sta83,1号线,Dist2,Sta127,2号线,Dist2,14
Sta75,10号线,Dist5,Sta82,11号线,Dist5,14
Sta20,11号线,Dist5,Sta101,12号线,Dist8,14
Sta1,1号线,Dist1,Sta86,11号线,Dist8,14
Sta168,10号线,Dist5,Sta26,12号线,Dist5,14
Sta108,1号线,Dist1,Sta78,2号线,Dist1,14
Sta95,12号线,Dist5,Sta157,10号线,Dist8,14
Sta114,10号线,Dist5,Sta3,11号线,Dist6,14
Sta59,4号线,Dist8,Sta26,12号线,Dist5,14
Sta114,10号线,Dist5,Sta131,3号线,Dist5,14
Sta60,12号线,Dist2,Sta41,3号线,Dist6,14
Sta67,3号线,Dist6,Sta116,12号线,Dist6,14
Sta162,11号线,Dist5,Sta135,10号线,Dist5,14
Sta168,10号线,Dist5,Sta46,11号线,Dist8,14
Sta84,4号线,Dist5,Sta86,11号线,Dist8,14
Sta31,12号线,Dist8,Sta118,11号线,Dist5,14
Sta72,12号线,Dist6,Sta84,4号线,Dist5,14
Sta93,12号线,Dist6,Sta25,11号线,Dist6,14
Sta46,11号线,Dist8,Sta157,10号线,Dist8,14
Sta16,5号线,Dist5,Sta17,12号线,Dist8,14
Sta162,11号线,Dist5,Sta100,3号线,Dist5,14
Sta95,12号线,Dist5,Sta113,3号线,Dist5,14
Sta101,12号线,Dist8,Sta56,11号线,Dist5,14
Sta91,12号线,Dist6,Sta30,3号线,Dist6,14
Sta22,3号线,Dist6,Sta32,12号线,Dist6,14
Sta45,11号线,Dist5,Sta8,10号线,Dist5,14
Sta20,11号线,Dist5,Sta40,3号线,Dist5,15
Sta127,2号线,Dist2,Sta30,3号线,Dist6,15
Sta29,3号线,Dist8,Sta108,1号线,Dist1,15
Sta89,1号线,Dist3,Sta47,2号线,Dist1,15
Sta67,3号线,Dist6,Sta63,11号线,Dist1,15
Sta156,3号线,Dist7,Sta51,2号线,Dist7,15
Sta107,1号线,Dist2,Sta79,2号线,Dist1,15
Sta129,2号线,Dist1,Sta83,1号线,Dist2,15
Sta137,12号线,Dist3,Sta56,11号线,Dist5,15
Sta20,11号线,Dist5,Sta126,3号线,Dist1,15
Sta69,5号线,Dist5,Sta137,12号线,Dist3,15
Sta40,3号线,Dist5,Sta54,5号线,Dist5,15
Sta158,3号线,Dist5,Sta135,10号线,Dist5,15
Sta20,11号线,Dist5,Sta114,10号线,Dist5,15
Sta134,10号线,Dist5,Sta165,4号线,Dist8,15
Sta27,2号线,Dist2,Sta108,1号线,Dist1,15
Sta37,5号线,Dist5,Sta17,12号线,Dist8,15
Sta157,10号线,Dist8,Sta118,11号线,Dist5,15
Sta86,11号线,Dist8,Sta126,3号线,Dist1,15
Sta54,5号线,Dist5,Sta114,10号线,Dist5,15
Sta90,12号线,Dist5,Sta115,11号线,Dist5,15
Sta126,3号线,Dist1,Sta163,2号线,Dist1,15
Sta17,12号线,Dist8,Sta135,10号线,Dist5,15
Sta55,11号线,Dist5,Sta90,12号线,Dist5,15
Sta53,2号线,Dist1,Sta1,1号线,Dist1,15
Sta162,11号线,Dist5,Sta93,12号线,Dist6,15
Sta26,12号线,Dist5,Sta15,11号线,Dist8,15
Sta144,3号线,Dist6,Sta115,11号线,Dist5,15
Sta84,4号线,Dist5,Sta141,3号线,Dist5,15
Sta8,10号线,Dist5,Sta152,11号线,Dist1,15
Sta167,3号线,Dist5,Sta86,11号线,Dist8,15
Sta18,2号线,Dist1,Sta126,3号线,Dist1,15
Sta1,1号线,Dist1,Sta123,2号线,Dist2,15
Sta72,12号线,Dist6,Sta115,11号线,Dist5,15
Sta134,10号线,Dist5,Sta113,3号线,Dist5,15
Sta15,11号线,Dist8,Sta100,3号线,Dist5,15
Sta163,2号线,Dist1,Sta1,1号线,Dist1,15
Sta55,11号线,Dist5,Sta26,12号线,Dist5,15
Sta51,2号线,Dist7,Sta61,3号线,Dist7,15
Sta144,3号线,Dist6,Sta78,2号线,Dist1,15
Sta115,11号线,Dist5,Sta79,2号线,Dist1,15
Sta146,11号线,Dist6,Sta93,12号线,Dist6,15
Sta3,11号线,Dist6,Sta1,1号线,Dist1,15
Sta91,12号线,Dist6,Sta138,3号线,Dist6,15
Sta85,10号线,Dist5,Sta100,3号线,Dist5,15
Sta18,2号线,Dist1,Sta107,1号线,Dist2,15
Sta67,3号线,Dist6,Sta32,12号线,Dist6,15
Sta69,5号线,Dist5,Sta55,11号线,Dist5,15
Sta79,2号线,Dist1,Sta144,3号线,Dist6,15
Sta40,3号线,Dist5,Sta17,12号线,Dist8,16
Sta31,12号线,Dist8,Sta54,5号线,Dist5,16
Sta56,11号线,Dist5,Sta132,5号线,Dist5,16
Sta126,3号线,Dist1,Sta9,2号线,Dist1,16
Sta108,1号线,Dist1,Sta30,3号线,Dist6,16
Sta30,3号线,Dist6,Sta47,2号线,Dist1,16
Sta63,11号线,Dist1,Sta126,3号线,Dist1,16
Sta1,1号线,Dist1,Sta127,2号线,Dist2,16
Sta29,3号线,Dist8,Sta63,11号线,Dist1,16
Sta63,11号线,Dist1,Sta32,12号线,Dist6,16
Sta134,10号线,Dist5,Sta115,11号线,Dist5,16
Sta115,11号线,Dist5,Sta1,1号线,Dist1,16
Sta96,5号线,Dist5,Sta23,11号线,Dist5,16
Sta72,12号线,Dist6,Sta100,3号线,Dist5,16
Sta37,5号线,Dist5,Sta118,11号线,Dist5,16
Sta25,11号线,Dist6,Sta1,1号线,Dist1,16
Sta134,10号线,Dist5,Sta86,11号线,Dist8,16
Sta115,11号线,Dist5,Sta31,12号线,Dist8,16
Sta134,10号线,Dist5,Sta72,12号线,Dist6,16
Sta129,2号线,Dist1,Sta30,3号线,Dist6,16
Sta63,11号线,Dist1,Sta30,3号线,Dist6,16
Sta168,10号线,Dist5,Sta63,11号线,Dist1,16
Sta123,2号线,Dist2,Sta154,1号线,Dist3,16
Sta17,12号线,Dist8,Sta126,3号线,Dist1,16
Sta70,11号线,Dist5,Sta26,12号线,Dist5,16
Sta41,3号线,Dist6,Sta72,12号线,Dist6,16
Sta134,10号线,Dist5,Sta17,12号线,Dist8,16
Sta26,12号线,Dist5,Sta89,1号线,Dist3,16
Sta100,3号线,Dist5,Sta23,11号线,Dist5,16
Sta19,4号线,Dist8,Sta168,10号线,Dist5,16
Sta134,10号线,Dist5,Sta141,3号线,Dist5,16
Sta40,3号线,Dist5,Sta95,12号线,Dist5,16
Sta141,3号线,Dist5,Sta95,12号线,Dist5,16
Sta26,12号线,Dist5,Sta162,11号线,Dist5,16
Sta20,11号线,Dist5,Sta137,12号线,Dist3,16
Sta134,10号线,Dist5,Sta40,3号线,Dist5,16
Sta115,11号线,Dist5,Sta78,2号线,Dist1,16
Sta90,12号线,Dist5,Sta157,10号线,Dist8,16
Sta46,11号线,Dist8,Sta40,3号线,Dist5,16
Sta159,1号线,Dist1,Sta115,11号线,Dist5,16
Sta168,10号线,Dist5,Sta72,12号线,Dist6,16
Sta135,10号线,Dist5,Sta93,12号线,Dist6,16
Sta29,3号线,Dist8,Sta23,11号线,Dist5,16
Sta41,3号线,Dist6,Sta148,12号线,Dist2,16
Sta59,4号线,Dist8,Sta114,10号线,Dist5,16
Sta40,3号线,Dist5,Sta84,4号线,Dist5,16
Sta54,5号线,Dist5,Sta70,11号线,Dist5,16
Sta55,11号线,Dist5,Sta54,5号线,Dist5,16
Sta86,11号线,Dist8,Sta93,12号线,Dist6,16
Sta56,11号线,Dist5,Sta157,10号线,Dist8,16
Sta81,2号线,Dist2,Sta83,1号线,Dist2,16
Sta92,12号线,Dist6,Sta15,11号线,Dist8,16
Sta101,12号线,Dist8,Sta69,5号线,Dist5,16
Sta40,3号线,Dist5,Sta78,2号线,Dist1,16
Sta162,11号线,Dist5,Sta17,12号线,Dist8,16
Sta117,3号线,Dist5,Sta87,10号线,Dist8,16
Sta2,10号线,Dist5,Sta84,4号线,Dist5,16
Sta72,12号线,Dist6,Sta25,11号线,Dist6,16
Sta133,3号线,Dist6,Sta32,12号线,Dist6,16
Sta100,3号线,Dist5,Sta26,12号线,Dist5,16
Sta118,11号线,Dist5,Sta84,4号线,Dist5,16
Sta118,11号线,Dist5,Sta95,12号线,Dist5,16
Sta86,11号线,Dist8,Sta92,12号线,Dist6,16
Sta19,4号线,Dist8,Sta135,10号线,Dist5,16
Sta163,2号线,Dist1,Sta63,11号线,Dist1,16
Sta18,2号线,Dist1,Sta1,1号线,Dist1,16
Sta70,11号线,Dist5,Sta17,12号线,Dist8,16
Sta22,3号线,Dist6,Sta91,12号线,Dist6,16
Sta85,10号线,Dist5,Sta19,4号线,Dist8,16
Sta67,3号线,Dist6,Sta92,12号线,Dist6,16
Sta15,11号线,Dist8,Sta131,3号线,Dist5,16
Sta133,3号线,Dist6,Sta92,12号线,Dist6,16
Sta3,11号线,Dist6,Sta91,12号线,Dist6,16
Sta129,2号线,Dist1,Sta146,11号线,Dist6,17
Sta108,1号线,Dist1,Sta126,3号线,Dist1,17
Sta107,1号线,Dist2,Sta129,2号线,Dist1,17
Sta90,12号线,Dist5,Sta86,11号线,Dist8,17
Sta90,12号线,Dist5,Sta89,1号线,Dist3,17
Sta83,1号线,Dist2,Sta63,11号线,Dist1,17
Sta129,2号线,Dist1,Sta114,10号线,Dist5,17
Sta63,11号线,Dist1,Sta123,2号线,Dist2,17
Sta80,1号线,Dist3,Sta47,2号线,Dist1,17
Sta84,4号线,Dist5,Sta93,12号线,Dist6,17
Sta90,12号线,Dist5,Sta70,11号线,Dist5,17
Sta79,2号线,Dist1,Sta67,3号线,Dist6,17
Sta67,3号线,Dist6,Sta115,11号线,Dist5,17
Sta63,11号线,Dist1,Sta157,10号线,Dist8,17
Sta2,10号线,Dist5,Sta167,3号线,Dist5,17
Sta107,1号线,Dist2,Sta144,3号线,Dist6,17
Sta83,1号线,Dist2,Sta67,3号线,Dist6,17
Sta168,10号线,Dist5,Sta141,3号线,Dist5,17
Sta167,3号线,Dist5,Sta72,12号线,Dist6,17
Sta55,11号线,Dist5,Sta101,12号线,Dist8,17
Sta69,5号线,Dist5,Sta126,3号线,Dist1,17
Sta107,1号线,Dist2,Sta127,2号线,Dist2,17
