in,out,time
Sta135,Sta95,6
Sta115,Sta131,6
Sta131,Sta115,6
Sta15,Sta162,6
Sta162,Sta15,6
Sta22,Sta21,6
Sta21,Sta22,6
Sta130,Sta25,6
Sta25,Sta130,6
Sta94,Sta7,6
Sta7,Sta94,6
Sta51,Sta105,6
Sta105,Sta51,6
Sta147,Sta44,6
Sta44,Sta147,6
Sta116,Sta32,6
Sta32,Sta116,6
Sta3,Sta92,6
Sta92,Sta3,6
Sta6,Sta160,6
Sta160,Sta6,6
Sta78,Sta9,6
Sta9,Sta78,6
Sta41,Sta91,6
Sta91,Sta41,6
Sta70,Sta111,6
Sta111,Sta70,6
Sta115,Sta56,6
Sta56,Sta115,6
Sta40,Sta162,6
Sta162,Sta40,6
Sta43,Sta10,6
Sta10,Sta43,6
Sta56,Sta69,6
Sta69,Sta56,6
Sta114,Sta86,6
Sta86,Sta114,6
Sta44,Sta142,6
Sta142,Sta44,6
Sta11,Sta125,6
Sta125,Sta11,6
Sta106,Sta97,6
Sta97,Sta106,6
Sta47,Sta5,6
Sta5,Sta47,6
Sta90,Sta23,6
Sta23,Sta90,6
Sta141,Sta167,6
Sta167,Sta141,6
Sta168,Sta157,6
Sta157,Sta168,6
Sta140,Sta13,6
Sta13,Sta140,6
Sta19,Sta62,6
Sta62,Sta19,6
Sta57,Sta71,6
Sta71,Sta57,6
Sta97,Sta64,6
Sta64,Sta97,6
Sta46,Sta15,6
Sta15,Sta46,6
Sta48,Sta68,6
Sta68,Sta48,6
Sta93,Sta3,6
Sta3,Sta93,6
Sta104,Sta65,6
Sta65,Sta104,6
Sta54,Sta23,6
Sta23,Sta54,6
Sta114,Sta115,6
Sta115,Sta114,6
Sta117,Sta158,6
Sta158,Sta117,6
Sta151,Sta27,6
Sta27,Sta151,6
Sta17,Sta101,6
Sta101,Sta17,6
Sta119,Sta66,6
Sta66,Sta119,6
Sta154,Sta89,6
Sta89,Sta154,6
Sta7,Sta8,6
Sta8,Sta7,6
Sta163,Sta129,6
Sta129,Sta163,6
Sta22,Sta41,6
Sta41,Sta22,6
Sta96,Sta37,7
Sta37,Sta96,7
Sta88,Sta145,7
Sta145,Sta88,7
Sta32,Sta127,7
Sta127,Sta32,7
Sta89,Sta110,7
Sta110,Sta89,7
Sta90,Sta17,7
Sta17,Sta90,7
Sta24,Sta71,7
Sta71,Sta24,7
Sta121,Sta153,7
Sta153,Sta121,7
Sta158,Sta141,7
Sta141,Sta158,7
Sta31,Sta137,7
Sta137,Sta31,7
Sta64,Sta107,7
Sta107,Sta64,7
Sta126,Sta118,7
Sta118,Sta126,7
Sta107,Sta47,7
Sta47,Sta107,7
Sta23,Sta31,7
Sta31,Sta23,7
Sta129,Sta53,7
Sta53,Sta129,7
Sta166,Sta124,7
Sta124,Sta166,7
Sta119,Sta61,7
Sta61,Sta119,7
Sta3,Sta25,7
Sta25,Sta3,7
Sta153,Sta33,7
Sta33,Sta153,7
Sta110,Sta34,7
Sta34,Sta110,7
Sta87,Sta35,7
Sta35,Sta87,7
Sta98,Sta47,7
Sta47,Sta98,7
Sta98,Sta53,7
Sta53,Sta98,7
Sta5,Sta67,7
Sta67,Sta5,7
Sta137,Sta136,7
Sta136,Sta137,7
Sta156,Sta155,7
Sta155,Sta156,7
Sta18,Sta98,7
Sta98,Sta18,7
Sta80,Sta150,7
Sta150,Sta80,7
Sta16,Sta132,7
Sta132,Sta16,7
Sta77,Sta140,7
Sta140,Sta77,7
Sta14,Sta148,7
Sta148,Sta14,7
Sta60,Sta73,7
Sta73,Sta60,7
Sta159,Sta123,7
Sta123,Sta159,7
Sta49,Sta74,7
Sta74,Sta49,7
Sta52,Sta151,7
Sta151,Sta52,7
Sta154,Sta108,7
Sta108,Sta154,7
Sta50,Sta156,7
Sta156,Sta50,7
Sta143,Sta61,7
Sta61,Sta143,7
Sta20,Sta118,7
Sta118,Sta20,7
Sta144,Sta98,7
Sta98,Sta144,7
Sta83,Sta150,7
Sta150,Sta83,7
Sta83,Sta159,7
Sta159,Sta83,7
Sta95,Sta134,7
Sta134,Sta95,7
Sta18,Sta123,7
Sta123,Sta18,7
Sta12,Sta119,7
Sta119,Sta12,7
Sta126,Sta131,7
Sta131,Sta126,7
Sta42,Sta109,7
Sta109,Sta42,7
Sta95,Sta72,7
Sta72,Sta95,7
Sta116,Sta41,7
Sta41,Sta116,7
Sta84,Sta95,7
Sta95,Sta84,7
Sta75,Sta152,7
Sta152,Sta75,7
Sta40,Sta118,7
Sta118,Sta40,7
Sta112,Sta125,7
Sta125,Sta112,7
Sta112,Sta109,7
Sta109,Sta112,7
Sta20,Sta17,7
Sta17,Sta20,7
Sta48,Sta52,7
Sta52,Sta48,7
Sta108,Sta5,7
Sta5,Sta108,7
Sta128,Sta34,7
Sta34,Sta128,7
Sta75,Sta6,7
Sta6,Sta75,7
Sta50,Sta66,7
Sta66,Sta50,7
Sta139,Sta105,7
Sta105,Sta139,7
Sta139,Sta24,7
Sta24,Sta139,7
Sta48,Sta127,7
Sta127,Sta48,7
Sta162,Sta126,8
Sta126,Sta162,8
Sta30,Sta22,8
Sta22,Sta30,8
Sta106,Sta80,8
Sta80,Sta106,8
Sta36,Sta166,8
Sta166,Sta36,8
Sta5,Sta30,8
Sta30,Sta5,8
Sta149,Sta128,8
Sta128,Sta149,8
Sta60,Sta91,8
Sta91,Sta60,8
Sta162,Sta86,8
Sta86,Sta162,8
Sta87,Sta33,8
Sta33,Sta87,8
Sta18,Sta78,8
Sta78,Sta18,8
Sta151,Sta81,8
Sta81,Sta151,8
Sta118,Sta114,8
Sta114,Sta118,8
Sta43,Sta132,8
Sta132,Sta43,8
Sta140,Sta70,8
Sta70,Sta140,8
Sta161,Sta22,8
Sta22,Sta161,8
Sta57,Sta139,8
Sta139,Sta57,8
Sta67,Sta138,8
Sta138,Sta67,8
Sta100,Sta113,8
Sta113,Sta100,8
Sta63,Sta5,8
Sta5,Sta63,8
Sta84,Sta100,8
Sta100,Sta84,8
Sta100,Sta40,8
Sta40,Sta100,8
Sta159,Sta129,8
Sta129,Sta159,8
Sta15,Sta93,8
Sta93,Sta15,8
Sta19,Sta165,8
Sta165,Sta19,8
Sta114,Sta46,8
Sta46,Sta114,8
Sta114,Sta95,8
Sta95,Sta114,8
Sta13,Sta111,8
Sta111,Sta13,8
Sta32,Sta92,8
Sta92,Sta32,8
Sta68,Sta27,8
Sta27,Sta68,8
Sta105,Sta155,8
Sta155,Sta105,8
Sta27,Sta123,8
Sta123,Sta27,8
Sta115,Sta39,8
Sta39,Sta115,8
Sta35,Sta147,8
Sta147,Sta35,8
Sta47,Sta81,8
Sta81,Sta47,8
Sta120,Sta25,8
Sta25,Sta120,8
Sta79,Sta53,8
Sta53,Sta79,8
Sta138,Sta21,8
Sta21,Sta138,8
Sta135,Sta114,8
Sta114,Sta135,8
Sta76,Sta71,8
Sta71,Sta76,8
Sta95,Sta86,8
Sta86,Sta95,8
Sta23,Sta115,8
Sta115,Sta23,8
Sta23,Sta55,8
Sta55,Sta23,8
Sta1,Sta47,8
Sta47,Sta1,8
Sta85,Sta135,8
Sta135,Sta85,8
Sta162,Sta168,8
Sta168,Sta162,8
Sta40,Sta29,8
Sta29,Sta40,8
Sta15,Sta63,8
Sta63,Sta15,8
Sta142,Sta167,8
Sta167,Sta142,8
Sta152,Sta82,8
Sta82,Sta152,8
Sta167,Sta39,8
Sta39,Sta167,8
Sta71,Sta105,8
Sta105,Sta71,8
Sta161,Sta133,8
Sta133,Sta161,8
Sta114,Sta134,8
Sta134,Sta114,8
Sta12,Sta133,8
Sta133,Sta12,8
Sta62,Sta165,8
Sta165,Sta62,8
Sta104,Sta49,8
Sta49,Sta104,8
Sta87,Sta7,8
Sta7,Sta87,8
Sta31,Sta26,8
Sta26,Sta31,8
Sta59,Sta84,8
Sta84,Sta59,8
Sta55,Sta111,8
Sta111,Sta55,8
Sta56,Sta17,8
Sta17,Sta56,8
Sta107,Sta89,8
Sta89,Sta107,8
Sta79,Sta163,8
Sta163,Sta79,8
Sta2,Sta134,8
Sta134,Sta2,8
Sta54,Sta118,8
Sta118,Sta54,8
Sta162,Sta56,8
Sta56,Sta162,8
Sta162,Sta131,8
Sta131,Sta162,8
Sta56,Sta90,8
Sta90,Sta56,8
Sta57,Sta68,8
Sta68,Sta57,8
Sta29,Sta162,8
Sta162,Sta29,8
Sta58,Sta38,8
Sta38,Sta58,8
Sta98,Sta115,8
Sta115,Sta98,8
Sta63,Sta25,8
Sta25,Sta63,8
Sta92,Sta93,8
Sta93,Sta92,8
Sta85,Sta4,8
Sta4,Sta85,8
Sta161,Sta66,8
Sta66,Sta161,8
Sta135,Sta141,8
Sta141,Sta135,8
Sta41,Sta133,8
Sta133,Sta41,8
Sta168,Sta85,9
Sta85,Sta168,9
Sta5,Sta126,9
Sta126,Sta5,9
Sta76,Sta151,9
Sta151,Sta76,9
Sta103,Sta88,9
Sta88,Sta103,9
Sta14,Sta60,9
Sta60,Sta14,9
Sta69,Sta17,9
Sta17,Sta69,9
Sta103,Sta2,9
Sta2,Sta103,9
Sta135,Sta90,9
Sta90,Sta135,9
Sta23,Sta16,9
Sta16,Sta23,9
Sta131,Sta167,9
Sta167,Sta131,9
Sta115,Sta15,9
Sta15,Sta115,9
Sta97,Sta34,9
Sta34,Sta97,9
Sta66,Sta21,9
Sta21,Sta66,9
Sta112,Sta121,9
Sta121,Sta112,9
Sta92,Sta63,9
Sta63,Sta92,9
Sta42,Sta44,9
Sta44,Sta42,9
Sta95,Sta90,9
Sta90,Sta95,9
Sta160,Sta8,9
Sta8,Sta160,9
Sta72,Sta3,9
Sta3,Sta72,9
Sta38,Sta165,9
Sta165,Sta38,9
Sta31,Sta89,9
Sta89,Sta31,9
Sta66,Sta61,9
Sta61,Sta66,9
Sta137,Sta17,9
Sta17,Sta137,9
Sta73,Sta127,9
Sta127,Sta73,9
Sta118,Sta17,9
Sta17,Sta118,9
Sta15,Sta135,9
Sta135,Sta15,9
Sta10,Sta37,9
Sta37,Sta10,9
Sta97,Sta150,9
Sta150,Sta97,9
Sta142,Sta117,9
Sta117,Sta142,9
Sta122,Sta140,9
Sta140,Sta122,9
Sta143,Sta50,9
Sta50,Sta143,9
Sta167,Sta95,9
Sta95,Sta167,9
Sta28,Sta166,9
Sta166,Sta28,9
Sta135,Sta40,9
Sta40,Sta135,9
Sta98,Sta9,9
Sta9,Sta98,9
Sta107,Sta159,9
Sta159,Sta107,9
Sta29,Sta144,9
Sta144,Sta29,9
Sta54,Sta17,9
Sta17,Sta54,9
Sta20,Sta13,9
Sta13,Sta20,9
Sta111,Sta164,9
Sta164,Sta111,9
Sta146,Sta3,9
Sta3,Sta146,9
Sta98,Sta1,9
Sta1,Sta98,9
Sta162,Sta157,9
Sta157,Sta162,9
Sta113,Sta158,9
Sta158,Sta113,9
Sta15,Sta168,9
Sta168,Sta15,9
Sta31,Sta90,9
Sta90,Sta31,9
Sta134,Sta90,9
Sta90,Sta134,9
Sta116,Sta92,9
Sta92,Sta116,9
Sta64,Sta110,9
Sta110,Sta64,9
Sta19,Sta134,9
Sta134,Sta19,9
Sta80,Sta154,9
Sta154,Sta80,9
Sta144,Sta1,9
Sta1,Sta144,9
Sta108,Sta123,9
Sta123,Sta108,9
Sta89,Sta106,9
Sta106,Sta89,9
Sta59,Sta135,9
Sta135,Sta59,9
Sta86,Sta3,9
Sta3,Sta86,9
Sta29,Sta1,9
Sta1,Sta29,9
Sta98,Sta67,9
Sta67,Sta98,9
Sta69,Sta132,9
Sta132,Sta69,9
Sta77,Sta36,9
Sta36,Sta77,9
Sta41,Sta144,9
Sta144,Sta41,9
Sta16,Sta56,9
Sta56,Sta16,9
Sta52,Sta57,9
Sta57,Sta52,9
Sta70,Sta23,9
Sta23,Sta70,9
Sta94,Sta6,9
Sta6,Sta94,9
Sta84,Sta167,9
Sta167,Sta84,9
Sta65,Sta74,9
Sta74,Sta65,9
Sta62,Sta59,9
Sta59,Sta62,9
Sta15,Sta84,9
Sta84,Sta15,9
Sta118,Sta26,9
Sta26,Sta118,9
Sta134,Sta100,9
Sta100,Sta134,9
Sta47,Sta78,9
Sta78,Sta47,9
Sta20,Sta26,9
Sta26,Sta20,9
Sta128,Sta49,9
Sta49,Sta128,9
Sta87,Sta42,9
Sta42,Sta87,9
Sta108,Sta18,9
Sta18,Sta108,9
Sta98,Sta163,9
Sta163,Sta98,9
Sta54,Sta20,9
Sta20,Sta54,9
Sta117,Sta35,9
Sta35,Sta117,9
Sta168,Sta95,9
Sta95,Sta168,9
Sta123,Sta79,9
Sta79,Sta123,9
Sta61,Sta155,9
Sta155,Sta61,9
Sta5,Sta78,9
Sta78,Sta5,9
Sta144,Sta159,9
Sta159,Sta144,9
Sta74,Sta34,10
Sta34,Sta74,10
Sta92,Sta91,10
Sta91,Sta92,10
Sta118,Sta69,10
Sta69,Sta118,10
Sta154,Sta47,10
Sta47,Sta154,10
Sta108,Sta1,10
Sta1,Sta108,10
Sta160,Sta88,10
Sta88,Sta160,10
Sta56,Sta55,10
Sta55,Sta56,10
Sta145,Sta87,10
Sta87,Sta145,10
Sta84,Sta23,10
Sta23,Sta84,10
Sta114,Sta40,10
Sta40,Sta114,10
Sta136,Sta101,10
Sta101,Sta136,10
Sta12,Sta22,10
Sta22,Sta12,10
Sta44,Sta141,10
Sta141,Sta44,10
Sta67,Sta1,10
Sta1,Sta67,10
Sta78,Sta129,10
Sta129,Sta78,10
Sta81,Sta68,10
Sta68,Sta81,10
Sta158,Sta147,10
Sta147,Sta158,10
Sta27,Sta52,10
Sta52,Sta27,10
Sta54,Sta69,10
Sta69,Sta54,10
Sta22,Sta67,10
Sta67,Sta22,10
Sta47,Sta27,10
Sta27,Sta47,10
Sta100,Sta115,10
Sta115,Sta100,10
Sta41,Sta127,10
Sta127,Sta41,10
Sta80,Sta34,10
Sta34,Sta80,10
Sta54,Sta115,10
Sta115,Sta54,10
Sta152,Sta45,10
Sta45,Sta152,10
Sta86,Sta72,10
Sta72,Sta86,10
Sta108,Sta150,10
Sta150,Sta108,10
Sta126,Sta56,10
Sta56,Sta126,10
Sta83,Sta5,10
Sta5,Sta83,10
Sta96,Sta16,10
Sta16,Sta96,10
Sta129,Sta47,10
Sta47,Sta129,10
Sta37,Sta23,10
Sta23,Sta37,10
Sta108,Sta79,10
Sta79,Sta108,10
Sta99,Sta36,10
Sta36,Sta99,10
Sta30,Sta133,10
Sta133,Sta30,10
Sta115,Sta157,10
Sta157,Sta115,10
Sta63,Sta159,10
Sta159,Sta63,10
Sta63,Sta93,10
Sta93,Sta63,10
Sta24,Sta51,10
Sta51,Sta24,10
Sta40,Sta56,10
Sta56,Sta40,10
Sta46,Sta95,10
Sta95,Sta46,10
Sta64,Sta83,10
Sta83,Sta64,10
Sta119,Sta156,10
Sta156,Sta119,10
Sta135,Sta157,10
Sta157,Sta135,10
Sta71,Sta52,10
Sta52,Sta71,10
Sta98,Sta159,10
Sta159,Sta98,10
Sta29,Sta159,10
Sta159,Sta29,10
Sta115,Sta20,10
Sta20,Sta115,10
Sta33,Sta35,10
Sta35,Sta33,10
Sta138,Sta144,10
Sta144,Sta138,10
Sta114,Sta84,10
Sta84,Sta114,10
Sta20,Sta31,10
Sta31,Sta20,10
Sta17,Sta84,10
Sta84,Sta17,10
Sta63,Sta114,10
Sta114,Sta63,10
Sta161,Sta119,10
Sta119,Sta161,10
Sta82,Sta70,10
Sta70,Sta82,10
Sta95,Sta100,10
Sta100,Sta95,10
Sta127,Sta18,10
Sta18,Sta127,10
Sta87,Sta112,10
Sta112,Sta87,10
Sta153,Sta11,10
Sta11,Sta153,10
Sta45,Sta164,10
Sta164,Sta45,10
Sta131,Sta118,10
Sta118,Sta131,10
Sta162,Sta95,10
Sta95,Sta162,10
Sta115,Sta86,10
Sta86,Sta115,10
Sta56,Sta26,10
Sta26,Sta56,10
Sta139,Sta76,10
Sta76,Sta139,10
Sta54,Sta26,10
Sta26,Sta54,10
Sta114,Sta72,10
Sta72,Sta114,10
Sta109,Sta147,10
Sta147,Sta109,10
Sta126,Sta114,10
Sta114,Sta126,10
Sta43,Sta37,11
Sta37,Sta43,11
Sta100,Sta141,11
Sta141,Sta100,11
Sta134,Sta157,11
Sta157,Sta134,11
Sta148,Sta91,11
Sta91,Sta148,11
Sta4,Sta88,11
Sta88,Sta4,11
Sta125,Sta33,11
Sta33,Sta125,11
Sta114,Sta56,11
Sta56,Sta114,11
Sta162,Sta23,11
Sta23,Sta162,11
Sta112,Sta35,11
Sta35,Sta112,11
Sta107,Sta80,11
Sta80,Sta107,11
Sta138,Sta161,11
Sta161,Sta138,11
Sta85,Sta103,11
Sta103,Sta85,11
Sta118,Sta15,11
Sta15,Sta118,11
Sta40,Sta98,11
Sta98,Sta40,11
Sta123,Sta48,11
Sta48,Sta123,11
Sta97,Sta154,11
Sta154,Sta97,11
Sta144,Sta47,11
Sta47,Sta144,11
Sta23,Sta101,11
Sta101,Sta23,11
Sta89,Sta34,11
Sta34,Sta89,11
Sta50,Sta12,11
Sta12,Sta50,11
Sta30,Sta98,11
Sta98,Sta30,11
Sta126,Sta39,11
Sta39,Sta126,11
Sta126,Sta79,11
Sta79,Sta126,11
Sta122,Sta166,11
Sta166,Sta122,11
Sta95,Sta93,11
Sta93,Sta95,11
Sta89,Sta83,11
