month,day,sta,flow
12,28,Sta66,1
12,28,Sta67,1
12,28,Sta70,1
12,28,Sta71,2
12,28,Sta72,4
12,28,Sta74,3
12,28,Sta76,2
12,28,Sta77,1
12,28,Sta78,1
12,28,Sta79,5
12,28,Sta80,6
12,28,Sta82,1
12,28,Sta85,1
12,28,Sta86,2
12,28,Sta87,1
12,28,Sta88,4
12,28,Sta89,23
12,28,Sta9,11
12,28,Sta90,3
12,28,Sta92,3
12,28,Sta93,1
12,28,Sta94,2
12,28,Sta95,3
12,28,Sta97,5
12,28,Sta99,3
12,29,Sta1,7
12,29,Sta100,3
12,29,Sta101,3
12,29,Sta107,21
12,29,Sta108,16
12,29,Sta109,1
12,29,Sta110,24
12,29,Sta113,2
12,29,Sta114,3
12,29,Sta115,12
12,29,Sta117,1
12,29,Sta118,3
12,29,Sta119,1
12,29,Sta12,4
12,29,Sta120,1
12,29,Sta121,2
12,29,Sta122,3
12,29,Sta123,4
12,29,Sta124,2
12,29,Sta125,3
12,29,Sta126,13
12,29,Sta127,5
12,29,Sta128,1
12,29,Sta129,14
12,29,Sta130,2
12,29,Sta132,4
12,29,Sta133,3
12,29,Sta134,18
12,29,Sta136,5
12,29,Sta137,8
12,29,Sta138,3
12,29,Sta139,2
12,29,Sta140,1
12,29,Sta141,4
12,29,Sta142,1
12,29,Sta143,1
12,29,Sta144,2
12,29,Sta149,5
12,29,Sta151,5
12,29,Sta153,1
12,29,Sta154,7
12,29,Sta155,2
12,29,Sta156,3
12,29,Sta157,4
12,29,Sta158,1
12,29,Sta159,6
12,29,Sta160,3
12,29,Sta161,1
12,29,Sta162,1
12,29,Sta163,4
12,29,Sta166,2
12,29,Sta167,2
12,29,Sta17,3
12,29,Sta18,3
12,29,Sta20,4
12,29,Sta22,4
12,29,Sta23,3
12,29,Sta25,3
12,29,Sta26,4
12,29,Sta27,2
12,29,Sta28,4
12,29,Sta29,1
12,29,Sta30,11
12,29,Sta31,2
12,29,Sta32,1
12,29,Sta34,9
12,29,Sta36,1
12,29,Sta37,1
12,29,Sta38,2
12,29,Sta39,1
12,29,Sta4,1
12,29,Sta40,4
12,29,Sta41,5
12,29,Sta42,7
12,29,Sta44,1
12,29,Sta46,1
12,29,Sta47,10
12,29,Sta48,2
12,29,Sta49,6
12,29,Sta5,28
12,29,Sta52,3
12,29,Sta53,4
12,29,Sta54,4
12,29,Sta55,1
12,29,Sta56,3
12,29,Sta61,4
12,29,Sta63,36
12,29,Sta64,7
12,29,Sta65,10
12,29,Sta67,5
12,29,Sta69,1
12,29,Sta7,1
12,29,Sta70,1
12,29,Sta71,2
12,29,Sta72,5
12,29,Sta74,4
12,29,Sta76,2
12,29,Sta77,1
12,29,Sta78,1
12,29,Sta79,7
12,29,Sta80,11
12,29,Sta81,6
12,29,Sta82,2
12,29,Sta83,1
12,29,Sta84,1
12,29,Sta85,2
12,29,Sta87,12
12,29,Sta88,1
12,29,Sta89,41
12,29,Sta9,16
12,29,Sta90,3
12,29,Sta92,2
12,29,Sta93,2
12,29,Sta94,3
12,29,Sta95,3
12,29,Sta97,2
12,29,Sta98,4
12,29,Sta99,4
12,30,Sta1,16
12,30,Sta100,10
12,30,Sta103,3
12,30,Sta104,17
12,30,Sta106,7
12,30,Sta107,25
12,30,Sta108,26
12,30,Sta109,2
12,30,Sta11,1
12,30,Sta110,25
12,30,Sta111,1
12,30,Sta112,1
12,30,Sta113,1
12,30,Sta114,5
12,30,Sta115,6
12,30,Sta118,6
12,30,Sta119,5
12,30,Sta12,3
12,30,Sta120,3
12,30,Sta121,4
12,30,Sta122,4
12,30,Sta123,4
12,30,Sta124,1
12,30,Sta125,3
12,30,Sta126,33
12,30,Sta127,12
12,30,Sta128,2
12,30,Sta129,42
12,30,Sta130,5
12,30,Sta131,2
12,30,Sta132,5
12,30,Sta133,3
12,30,Sta134,29
12,30,Sta135,6
12,30,Sta136,12
12,30,Sta137,2
12,30,Sta138,7
12,30,Sta14,8
12,30,Sta141,7
12,30,Sta142,7
12,30,Sta143,1
12,30,Sta144,4
12,30,Sta145,2
12,30,Sta146,4
12,30,Sta147,1
12,30,Sta148,4
12,30,Sta149,10
12,30,Sta15,5
12,30,Sta150,1
12,30,Sta151,2
12,30,Sta153,1
12,30,Sta154,7
12,30,Sta155,1
12,30,Sta156,1
12,30,Sta157,2
12,30,Sta158,4
12,30,Sta159,6
12,30,Sta16,1
12,30,Sta160,2
12,30,Sta161,3
12,30,Sta162,8
12,30,Sta163,2
12,30,Sta166,4
12,30,Sta167,4
12,30,Sta168,3
12,30,Sta17,5
12,30,Sta20,11
12,30,Sta21,1
12,30,Sta22,2
12,30,Sta23,6
12,30,Sta25,6
12,30,Sta26,3
12,30,Sta27,2
12,30,Sta28,5
12,30,Sta3,7
12,30,Sta30,12
12,30,Sta31,2
12,30,Sta32,4
12,30,Sta33,1
12,30,Sta35,3
12,30,Sta36,2
12,30,Sta37,3
12,30,Sta38,2
12,30,Sta4,2
12,30,Sta40,11
12,30,Sta41,8
12,30,Sta42,3
12,30,Sta43,1
12,30,Sta44,2
12,30,Sta45,2
12,30,Sta46,5
12,30,Sta47,8
12,30,Sta48,3
12,30,Sta49,16
12,30,Sta5,40
12,30,Sta50,1
12,30,Sta52,2
12,30,Sta54,2
12,30,Sta55,2
12,30,Sta56,5
12,30,Sta57,3
12,30,Sta59,4
12,30,Sta6,1
12,30,Sta60,1
12,30,Sta61,4
12,30,Sta63,57
12,30,Sta64,4
12,30,Sta65,34
12,30,Sta67,4
12,30,Sta68,3
12,30,Sta69,3
12,30,Sta70,3
12,30,Sta71,3
12,30,Sta72,5
12,30,Sta73,7
12,30,Sta74,11
12,30,Sta76,4
12,30,Sta77,1
12,30,Sta78,4
12,30,Sta79,8
12,30,Sta8,1
12,30,Sta80,10
12,30,Sta81,17
12,30,Sta82,2
12,30,Sta83,8
12,30,Sta84,4
12,30,Sta85,6
12,30,Sta86,1
12,30,Sta87,8
12,30,Sta88,4
12,30,Sta89,50
12,30,Sta9,17
12,30,Sta90,5
12,30,Sta91,3
12,30,Sta92,1
12,30,Sta94,1
12,30,Sta95,5
12,30,Sta96,1
12,30,Sta97,7
12,30,Sta98,5
12,30,Sta99,2
1,1,Sta1,22
1,1,Sta100,4
1,1,Sta101,4
1,1,Sta103,4
1,1,Sta104,71
1,1,Sta105,1
1,1,Sta106,2
1,1,Sta107,22
1,1,Sta108,63
1,1,Sta109,4
1,1,Sta110,82
1,1,Sta111,6
1,1,Sta112,5
1,1,Sta113,3
1,1,Sta114,8
1,1,Sta115,27
1,1,Sta117,3
1,1,Sta118,9
1,1,Sta12,8
1,1,Sta120,7
1,1,Sta121,7
1,1,Sta122,4
1,1,Sta123,9
1,1,Sta124,9
1,1,Sta125,3
1,1,Sta126,117
1,1,Sta127,60
1,1,Sta128,4
1,1,Sta129,128
1,1,Sta13,3
1,1,Sta130,5
1,1,Sta131,1
1,1,Sta132,4
1,1,Sta133,6
1,1,Sta134,43
1,1,Sta135,4
1,1,Sta136,15
1,1,Sta137,11
1,1,Sta138,6
1,1,Sta139,2
1,1,Sta14,7
1,1,Sta140,4
1,1,Sta141,16
1,1,Sta142,5
1,1,Sta143,4
1,1,Sta144,6
1,1,Sta145,2
1,1,Sta146,12
1,1,Sta148,7
1,1,Sta149,10
1,1,Sta15,7
1,1,Sta151,2
1,1,Sta153,4
1,1,Sta154,18
1,1,Sta155,5
1,1,Sta156,3
1,1,Sta157,6
1,1,Sta158,13
1,1,Sta159,16
1,1,Sta16,2
1,1,Sta160,11
1,1,Sta161,9
1,1,Sta162,7
1,1,Sta163,9
1,1,Sta166,4
1,1,Sta167,7
1,1,Sta168,4
1,1,Sta17,12
1,1,Sta2,1
1,1,Sta20,6
1,1,Sta21,6
1,1,Sta22,13
1,1,Sta23,5
1,1,Sta25,9
1,1,Sta26,4
1,1,Sta27,11
1,1,Sta28,11
1,1,Sta29,10
1,1,Sta3,7
1,1,Sta30,29
1,1,Sta31,2
1,1,Sta32,6
1,1,Sta33,2
1,1,Sta34,8
1,1,Sta35,2
1,1,Sta36,2
1,1,Sta37,2
1,1,Sta38,2
1,1,Sta39,4
1,1,Sta4,2
1,1,Sta40,16
1,1,Sta41,14
1,1,Sta42,8
1,1,Sta43,2
1,1,Sta44,13
1,1,Sta45,2
1,1,Sta46,10
1,1,Sta47,13
1,1,Sta48,3
1,1,Sta49,36
1,1,Sta5,60
1,1,Sta50,4
1,1,Sta51,1
1,1,Sta52,3
1,1,Sta53,3
1,1,Sta54,10
1,1,Sta55,10
1,1,Sta56,17
1,1,Sta57,5
1,1,Sta59,1
1,1,Sta6,1
1,1,Sta60,11
1,1,Sta61,19
1,1,Sta63,160
1,1,Sta64,22
1,1,Sta65,48
1,1,Sta66,2
1,1,Sta67,8
1,1,Sta68,7
1,1,Sta7,2
1,1,Sta70,6
1,1,Sta72,17
1,1,Sta73,13
1,1,Sta74,24
1,1,Sta76,13
1,1,Sta77,2
1,1,Sta78,7
1,1,Sta79,16
1,1,Sta80,14
1,1,Sta81,38
1,1,Sta82,3
1,1,Sta83,9
1,1,Sta84,6
1,1,Sta85,2
1,1,Sta86,6
1,1,Sta87,23
1,1,Sta88,16
1,1,Sta89,141
1,1,Sta9,45
1,1,Sta90,2
1,1,Sta91,10
1,1,Sta92,11
1,1,Sta93,1
1,1,Sta94,6
1,1,Sta95,15
1,1,Sta96,5
1,1,Sta97,18
1,1,Sta98,14
1,1,Sta99,9
1,2,Sta1,29
1,2,Sta10,1
1,2,Sta100,14
1,2,Sta101,2
1,2,Sta103,4
1,2,Sta104,26
1,2,Sta105,1
1,2,Sta106,3
1,2,Sta107,40
1,2,Sta108,55
1,2,Sta109,4
1,2,Sta110,74
1,2,Sta111,2
1,2,Sta112,7
1,2,Sta113,3
1,2,Sta114,14
1,2,Sta115,29
1,2,Sta117,2
1,2,Sta118,9
1,2,Sta119,2
1,2,Sta12,8
1,2,Sta120,2
1,2,Sta121,3
1,2,Sta122,7
1,2,Sta123,15
1,2,Sta124,2
1,2,Sta125,2
1,2,Sta126,89
1,2,Sta127,34
1,2,Sta128,4
1,2,Sta129,110
1,2,Sta13,3
1,2,Sta130,4
1,2,Sta131,6
1,2,Sta132,3
1,2,Sta133,5
1,2,Sta134,52
1,2,Sta135,20
1,2,Sta136,13
1,2,Sta137,11
1,2,Sta138,16
1,2,Sta139,5
1,2,Sta14,8
1,2,Sta140,2
1,2,Sta141,7
1,2,Sta142,14
1,2,Sta143,2
1,2,Sta144,3
1,2,Sta145,1
1,2,Sta146,9
1,2,Sta147,1
1,2,Sta148,8
1,2,Sta149,10
1,2,Sta15,4
1,2,Sta150,52
1,2,Sta151,4
1,2,Sta153,3
1,2,Sta154,11
1,2,Sta155,5
1,2,Sta156,12
1,2,Sta157,7
1,2,Sta158,9
1,2,Sta159,23
1,2,Sta16,1
1,2,Sta160,6
1,2,Sta161,6
1,2,Sta162,12
1,2,Sta163,7
1,2,Sta164,1
1,2,Sta165,2
1,2,Sta166,1
1,2,Sta167,9
1,2,Sta168,5
1,2,Sta17,13
1,2,Sta18,1
1,2,Sta2,2
1,2,Sta20,20
1,2,Sta21,5
1,2,Sta22,7
1,2,Sta23,18
1,2,Sta25,9
1,2,Sta26,6
1,2,Sta27,6
1,2,Sta28,11
1,2,Sta29,11
1,2,Sta3,5
1,2,Sta30,22
1,2,Sta31,3
1,2,Sta32,4
1,2,Sta33,2
1,2,Sta34,13
1,2,Sta35,7
1,2,Sta36,5
1,2,Sta37,2
1,2,Sta39,6
1,2,Sta4,2
1,2,Sta40,23
1,2,Sta41,22
1,2,Sta42,12
1,2,Sta43,3
1,2,Sta44,7
1,2,Sta46,19
1,2,Sta47,35
1,2,Sta48,2
1,2,Sta49,34
1,2,Sta5,67
1,2,Sta50,5
1,2,Sta51,1
1,2,Sta52,5
1,2,Sta53,15
1,2,Sta54,1
1,2,Sta55,8
1,2,Sta56,17
1,2,Sta57,3
1,2,Sta59,2
1,2,Sta60,7
1,2,Sta61,16
1,2,Sta62,1
1,2,Sta63,130
1,2,Sta64,18
1,2,Sta65,39
1,2,Sta66,4
1,2,Sta67,21
1,2,Sta68,5
1,2,Sta69,14
1,2,Sta7,2
1,2,Sta70,4
1,2,Sta71,1
1,2,Sta72,3
1,2,Sta73,9
1,2,Sta74,11
1,2,Sta76,11
1,2,Sta78,14
1,2,Sta79,15
1,2,Sta80,22
1,2,Sta81,33
1,2,Sta82,3
1,2,Sta83,16
1,2,Sta84,2
1,2,Sta85,4
1,2,Sta86,9
1,2,Sta87,19
1,2,Sta88,16
1,2,Sta89,106
1,2,Sta9,30
1,2,Sta90,10
1,2,Sta91,8
1,2,Sta92,4
1,2,Sta94,2
1,2,Sta95,16
1,2,Sta97,15
1,2,Sta98,18
1,2,Sta99,9
1,3,Sta1,21
1,3,Sta100,11
1,3,Sta101,3
1,3,Sta103,5
1,3,Sta104,37
1,3,Sta106,2
1,3,Sta107,55
1,3,Sta108,57
1,3,Sta109,11
1,3,Sta110,70
1,3,Sta111,5
1,3,Sta112,13
1,3,Sta113,2
1,3,Sta114,20
1,3,Sta115,49
1,3,Sta117,8
1,3,Sta118,13
1,3,Sta119,7
1,3,Sta12,12
1,3,Sta120,6
1,3,Sta121,11
1,3,Sta122,3
1,3,Sta123,10
1,3,Sta124,4
1,3,Sta125,6
1,3,Sta126,95
1,3,Sta127,51
1,3,Sta128,2
1,3,Sta129,115
1,3,Sta13,2
1,3,Sta130,4
1,3,Sta131,5
1,3,Sta132,11
1,3,Sta133,7
1,3,Sta134,89
1,3,Sta135,20
1,3,Sta136,19
1,3,Sta137,9
1,3,Sta138,21
1,3,Sta139,3
1,3,Sta14,8
1,3,Sta140,3
1,3,Sta141,16
1,3,Sta142,19
1,3,Sta143,6
1,3,Sta144,5
1,3,Sta146,19
1,3,Sta147,3
1,3,Sta148,6
1,3,Sta149,5
1,3,Sta15,7
1,3,Sta150,1
1,3,Sta151,4
1,3,Sta152,1
1,3,Sta153,11
1,3,Sta154,13
1,3,Sta155,11
1,3,Sta156,12
1,3,Sta157,8
1,3,Sta158,17
1,3,Sta159,19
1,3,Sta16,3
1,3,Sta160,7
1,3,Sta161,6
1,3,Sta162,13
1,3,Sta163,2
1,3,Sta164,1
1,3,Sta165,4
1,3,Sta166,1
1,3,Sta167,9
1,3,Sta168,7
1,3,Sta17,12
1,3,Sta2,3
1,3,Sta20,21
1,3,Sta21,6
1,3,Sta22,8
1,3,Sta23,26
1,3,Sta25,18
1,3,Sta26,4
1,3,Sta27,4
1,3,Sta28,7
1,3,Sta29,13
1,3,Sta3,3
1,3,Sta30,33
1,3,Sta31,3
1,3,Sta32,8
1,3,Sta33,6
1,3,Sta34,7
1,3,Sta35,7
1,3,Sta36,4
1,3,Sta37,4
1,3,Sta38,1
1,3,Sta39,12
1,3,Sta4,10
1,3,Sta40,36
1,3,Sta41,29
1,3,Sta42,12
1,3,Sta43,3
1,3,Sta44,9
1,3,Sta46,16
1,3,Sta47,51
1,3,Sta48,5
1,3,Sta49,45
1,3,Sta5,85
1,3,Sta50,4
1,3,Sta52,5
1,3,Sta53,6
1,3,Sta54,4
1,3,Sta55,7
1,3,Sta56,19
1,3,Sta57,1
1,3,Sta58,1
1,3,Sta59,1
1,3,Sta6,2
1,3,Sta60,3
1,3,Sta61,19
1,3,Sta62,1
1,3,Sta63,137
1,3,Sta64,18
1,3,Sta65,28
1,3,Sta66,9
1,3,Sta67,29
1,3,Sta68,4
1,3,Sta69,10
1,3,Sta7,1
1,3,Sta70,10
1,3,Sta71,1
1,3,Sta72,13
1,3,Sta73,6
1,3,Sta74,19
1,3,Sta76,13
1,3,Sta78,11
1,3,Sta79,38
1,3,Sta8,2
1,3,Sta80,24
1,3,Sta81,33
1,3,Sta82,3
1,3,Sta83,17
1,3,Sta84,6
1,3,Sta85,6
1,3,Sta86,12
1,3,Sta87,21
1,3,Sta88,32
1,3,Sta89,146
1,3,Sta9,41
1,3,Sta90,14
1,3,Sta91,9
1,3,Sta92,4
1,3,Sta93,3
1,3,Sta94,7
1,3,Sta95,16
1,3,Sta96,2
1,3,Sta97,27
1,3,Sta98,12
1,3,Sta99,11
1,4,Sta1,35
1,4,Sta10,1
1,4,Sta100,7
1,4,Sta101,2
1,4,Sta103,6
1,4,Sta104,27
1,4,Sta105,1
1,4,Sta106,13
1,4,Sta107,36
1,4,Sta108,64
1,4,Sta109,8
1,4,Sta110,100
1,4,Sta111,3
1,4,Sta112,9
1,4,Sta113,1
1,4,Sta114,13
1,4,Sta115,31
1,4,Sta117,6
1,4,Sta118,12
1,4,Sta119,9
1,4,Sta12,11
1,4,Sta120,9
1,4,Sta121,8
1,4,Sta122,9
1,4,Sta123,13
1,4,Sta124,6
1,4,Sta125,8
1,4,Sta126,85
1,4,Sta127,45
1,4,Sta128,7
1,4,Sta129,116
1,4,Sta13,3
1,4,Sta130,6
1,4,Sta131,3
1,4,Sta132,2
1,4,Sta133,6
1,4,Sta134,63
1,4,Sta135,16
1,4,Sta136,13
1,4,Sta137,12
1,4,Sta138,18
1,4,Sta139,2
1,4,Sta14,9
1,4,Sta140,2
1,4,Sta141,21
1,4,Sta142,18
1,4,Sta143,2
1,4,Sta144,10
1,4,Sta145,2
1,4,Sta146,16
1,4,Sta148,8
1,4,Sta149,13
1,4,Sta15,5
1,4,Sta150,2
1,4,Sta151,5
1,4,Sta152,2
1,4,Sta153,4
1,4,Sta154,24
1,4,Sta155,20
1,4,Sta156,13
1,4,Sta157,4
1,4,Sta158,19
1,4,Sta159,14
1,4,Sta160,21
1,4,Sta161,7
1,4,Sta162,9
1,4,Sta163,4
1,4,Sta164,1
1,4,Sta166,3
1,4,Sta167,12
1,4,Sta168,6
1,4,Sta17,11
1,4,Sta18,1
1,4,Sta2,2
1,4,Sta20,8
1,4,Sta21,5
1,4,Sta22,11
1,4,Sta23,22
1,4,Sta25,12
1,4,Sta26,1
1,4,Sta27,7
1,4,Sta28,9
1,4,Sta29,14
1,4,Sta3,3
1,4,Sta30,31
1,4,Sta31,6
1,4,Sta32,8
1,4,Sta33,4
1,4,Sta34,10
1,4,Sta35,3
1,4,Sta36,6
1,4,Sta37,6
1,4,Sta39,7
1,4,Sta4,4
1,4,Sta40,28
1,4,Sta41,20
1,4,Sta42,9
1,4,Sta43,2
1,4,Sta44,4
1,4,Sta45,1
1,4,Sta46,13
1,4,Sta47,31
1,4,Sta49,52
1,4,Sta5,59
1,4,Sta50,5
1,4,Sta51,4
1,4,Sta52,6
1,4,Sta53,8
1,4,Sta54,6
1,4,Sta55,6
1,4,Sta56,18
1,4,Sta57,2
1,4,Sta59,1
1,4,Sta6,2
1,4,Sta60,2
1,4,Sta61,21
1,4,Sta62,2
1,4,Sta63,159
1,4,Sta64,21
1,4,Sta65,52
1,4,Sta66,7
1,4,Sta67,24
1,4,Sta68,9
1,4,Sta69,4
1,4,Sta7,5
1,4,Sta70,3
1,4,Sta72,9
1,4,Sta73,9
1,4,Sta74,20
1,4,Sta75,1
1,4,Sta76,21
1,4,Sta77,1
1,4,Sta78,32
1,4,Sta79,41
1,4,Sta80,20
1,4,Sta81,42
1,4,Sta82,8
1,4,Sta83,18
1,4,Sta84,5
1,4,Sta85,5
1,4,Sta86,12
1,4,Sta87,40
1,4,Sta88,38
1,4,Sta89,112
1,4,Sta9,50
1,4,Sta90,5
1,4,Sta91,6
1,4,Sta92,9
1,4,Sta93,5
1,4,Sta94,12
1,4,Sta95,10
1,4,Sta97,31
1,4,Sta98,21
1,4,Sta99,11
1,5,Sta1,23
1,5,Sta10,1
1,5,Sta100,12
1,5,Sta101,4
1,5,Sta103,8
1,5,Sta104,31
1,5,Sta105,1
1,5,Sta106,6
1,5,Sta107,42
1,5,Sta108,63
1,5,Sta109,18
1,5,Sta11,2
1,5,Sta110,43
1,5,Sta111,2
1,5,Sta112,8
1,5,Sta113,2
1,5,Sta114,13
1,5,Sta115,46
1,5,Sta117,4
1,5,Sta118,5
1,5,Sta119,7
1,5,Sta12,6
1,5,Sta120,8
1,5,Sta121,16
1,5,Sta122,6
1,5,Sta123,16
1,5,Sta124,1
1,5,Sta125,3
1,5,Sta126,77
1,5,Sta127,44
1,5,Sta128,2
1,5,Sta129,109
1,5,Sta13,1
1,5,Sta130,9
1,5,Sta131,7
1,5,Sta132,9
1,5,Sta133,6
1,5,Sta134,100
1,5,Sta135,13
1,5,Sta136,15
1,5,Sta137,10
1,5,Sta138,25
1,5,Sta139,4
1,5,Sta14,3
1,5,Sta140,2
1,5,Sta141,18
1,5,Sta142,14
1,5,Sta143,4
1,5,Sta144,7
1,5,Sta146,9
1,5,Sta147,4
1,5,Sta148,4
1,5,Sta149,17
1,5,Sta15,8
1,5,Sta150,1
1,5,Sta151,5
1,5,Sta152,1
1,5,Sta153,1
1,5,Sta154,14
1,5,Sta155,15
1,5,Sta156,6
1,5,Sta157,9
1,5,Sta158,13
1,5,Sta159,23
1,5,Sta16,1
1,5,Sta160,13
1,5,Sta161,5
1,5,Sta162,14
1,5,Sta163,8
1,5,Sta166,2
1,5,Sta167,13
1,5,Sta168,16
1,5,Sta17,5
1,5,Sta18,3
1,5,Sta19,2
1,5,Sta2,9
1,5,Sta20,6
1,5,Sta21,2
1,5,Sta22,12
1,5,Sta23,17
1,5,Sta24,1
1,5,Sta25,5
1,5,Sta26,4
1,5,Sta27,11
1,5,Sta28,16
1,5,Sta29,12
1,5,Sta3,2
1,5,Sta30,31
1,5,Sta31,2
1,5,Sta32,11
1,5,Sta33,2
1,5,Sta34,14
1,5,Sta35,8
1,5,Sta36,6
1,5,Sta37,5
1,5,Sta39,7
1,5,Sta4,5
1,5,Sta40,24
1,5,Sta41,19
1,5,Sta42,16
1,5,Sta43,1
1,5,Sta44,9
1,5,Sta46,7
1,5,Sta47,27
1,5,Sta49,39
1,5,Sta5,75
1,5,Sta50,3
1,5,Sta51,4
1,5,Sta52,5
1,5,Sta53,14
1,5,Sta54,8
1,5,Sta55,6
1,5,Sta56,16
1,5,Sta57,3
1,5,Sta59,2
1,5,Sta6,5
1,5,Sta60,2
1,5,Sta61,30
1,5,Sta63,166
1,5,Sta64,25
1,5,Sta65,39
1,5,Sta66,4
1,5,Sta67,34
1,5,Sta68,9
1,5,Sta69,1
1,5,Sta7,2
1,5,Sta70,4
1,5,Sta71,3
1,5,Sta72,13
1,5,Sta73,7
1,5,Sta74,31
1,5,Sta75,2
1,5,Sta76,12
1,5,Sta78,11
1,5,Sta79,21
1,5,Sta8,2
1,5,Sta80,15
1,5,Sta81,39
1,5,Sta82,5
1,5,Sta83,13
1,5,Sta84,8
1,5,Sta85,5
1,5,Sta86,5
1,5,Sta87,35
1,5,Sta88,26
1,5,Sta89,130
1,5,Sta9,39
1,5,Sta90,3
1,5,Sta91,3
1,5,Sta92,4
1,5,Sta93,4
1,5,Sta94,4
1,5,Sta95,13
1,5,Sta97,29
1,5,Sta98,20
1,5,Sta99,12
1,6,Sta1,29
1,6,Sta10,3
1,6,Sta100,20
1,6,Sta101,3
1,6,Sta103,3
